Area,School_Type,Total_School,Total_People,Male,Femal,Year
"Donau-Ries, Landkreis",Gymnasien,3.0,2843.0,1431.0,39.0,2015
"Oberallgäu, Landkreis",Gymnasien,3.0,1910.0,1018.0,130.0,2015
"Saarbrücken, Regionalverband",Gymnasien,12.0,8204.0,4310.0,613.0,2015
"Saarbrücken, Landeshauptstadt",Gymnasien,8.0,5896.0,3078.0,526.0,2015
"Merzig-Wadern, Landkreis",Gymnasien,3.0,2752.0,1458.0,45.0,2015
"Neunkirchen, Landkreis",Gymnasien,4.0,2650.0,1366.0,70.0,2015
"Saarlouis, Landkreis",Gymnasien,7.0,5635.0,2875.0,197.0,2015
Saarpfalz-Kreis,Gymnasien,6.0,4200.0,2195.0,154.0,2015
"St. Wendel, Landkreis",Gymnasien,3.0,1683.0,883.0,31.0,2015
Berlin,Gymnasien,113.0,76003.0,40510.0,6932.0,2015
"Brandenburg an der Havel, kreisfreie Stadt",Gymnasien,4.0,1743.0,965.0,23.0,2015
"Cottbus, kreisfreie Stadt",Gymnasien,5.0,2222.0,1112.0,38.0,2015
"Frankfurt (Oder), kreisfreie Stadt",Gymnasien,2.0,1412.0,762.0,104.0,2015
"Potsdam, kreisfreie Stadt",Gymnasien,9.0,5049.0,2653.0,154.0,2015
"Barnim, Landkreis",Gymnasien,9.0,3819.0,2020.0,39.0,2015
"Dahme-Spreewald, Landkreis",Gymnasien,7.0,3707.0,2056.0,34.0,2015
"Elbe-Elster, Landkreis",Gymnasien,4.0,2064.0,1165.0,12.0,2015
"Havelland, Landkreis",Gymnasien,6.0,3971.0,2156.0,59.0,2015
"Märkisch-Oderland, Landkreis",Gymnasien,7.0,3458.0,1889.0,25.0,2015
"Oberhavel, Landkreis",Gymnasien,8.0,4126.0,2289.0,30.0,2015
"Oberspreewald-Lausitz, Landkreis",Gymnasien,3.0,1813.0,991.0,12.0,2015
"Oder-Spree, Landkreis",Gymnasien,8.0,3846.0,2143.0,144.0,2015
"Ostprignitz-Ruppin, Landkreis",Gymnasien,4.0,2041.0,1107.0,14.0,2015
"Potsdam-Mittelmark, Landkreis",Gymnasien,9.0,5025.0,2704.0,31.0,2015
"Prignitz, Landkreis",Gymnasien,3.0,1297.0,662.0,19.0,2015
"Spree-Neiße, Landkreis",Gymnasien,4.0,2161.0,1228.0,58.0,2015
"Teltow-Fläming, Landkreis",Gymnasien,6.0,3168.0,1669.0,43.0,2015
"Uckermark, Landkreis",Gymnasien,4.0,2011.0,1107.0,39.0,2015
"Rostock, Hanse- und Universitätsstadt, kreisfreie Stadt",Gymnasien,10.0,4768.0,2465.0,227.0,2015
"Schwerin, Landeshauptstadt, kreisfreie Stadt",Gymnasien,7.0,3001.0,1527.0,143.0,2015
"Mecklenburgische Seenplatte, Landkreis",Gymnasien,14.0,6072.0,3249.0,91.0,2015
Landkreis Rostock,Gymnasien,9.0,3912.0,2176.0,46.0,2015
"Vorpommern-Rügen, Landkreis",Gymnasien,7.0,3259.0,1750.0,54.0,2015
Landkreis Nordwestmecklenburg,Gymnasien,7.0,3221.0,1736.0,57.0,2015
"Vorpommern-Greifswald, Landkreis",Gymnasien,10.0,4414.0,2328.0,341.0,2015
Landkreis Ludwigslust-Parchim,Gymnasien,10.0,4086.0,2228.0,36.0,2015
"Chemnitz, Stadt",Gymnasien,9.0,4651.0,2382.0,135.0,2015
Erzgebirgskreis,Gymnasien,12.0,6662.0,3602.0,43.0,2015
"Mittelsachsen, Landkreis",Gymnasien,12.0,6940.0,3718.0,63.0,2015
Vogtlandkreis,Gymnasien,8.0,5094.0,2691.0,61.0,2015
"Zwickau, Landkreis",Gymnasien,14.0,8095.0,4354.0,295.0,2015
"Dresden, Stadt",Gymnasien,24.0,15729.0,7901.0,504.0,2015
"Bautzen, Landkreis",Gymnasien,11.0,7280.0,3907.0,29.0,2015
"Görlitz, Landkreis",Gymnasien,9.0,5182.0,2775.0,97.0,2015
"Meißen, Landkreis",Gymnasien,10.0,5938.0,3139.0,27.0,2015
"Sächsische Schweiz-Osterzgebirge, Landkreis",Gymnasien,7.0,5295.0,2857.0,27.0,2015
"Leipzig, Stadt",Gymnasien,21.0,13983.0,7237.0,814.0,2015
"Leipzig, Landkreis",Gymnasien,12.0,5654.0,3042.0,40.0,2015
"Nordsachsen, Landkreis",Gymnasien,6.0,4914.0,2550.0,44.0,2015
"Dessau-Roßlau, kreisfreie Stadt",Gymnasien,3.0,2240.0,1168.0,40.0,2015
"Halle (Saale), kreisfreie Stadt",Gymnasien,11.0,6684.0,3464.0,173.0,2015
"Magdeburg, Landeshauptstadt, kreisfreie Stadt",Gymnasien,10.0,5917.0,2996.0,182.0,2015
Altmarkkreis Salzwedel,Gymnasien,3.0,2021.0,1072.0,15.0,2015
"Anhalt-Bitterfeld, Landkreis",Gymnasien,4.0,3394.0,1803.0,34.0,2015
"Börde, Landkreis",Gymnasien,7.0,4537.0,2440.0,49.0,2015
Burgenlandkreis,Gymnasien,8.0,4582.0,2438.0,32.0,2015
"Harz, Landkreis",Gymnasien,11.0,6012.0,3142.0,71.0,2015
"Jerichower Land, Landkreis",Gymnasien,3.0,1854.0,973.0,23.0,2015
"Mansfeld-Südharz, Landkreis",Gymnasien,3.0,2696.0,1471.0,37.0,2015
Saalekreis,Gymnasien,6.0,4117.0,2156.0,26.0,2015
Salzlandkreis,Gymnasien,5.0,4012.0,2118.0,34.0,2015
"Stendal, Landkreis",Gymnasien,6.0,3069.0,1625.0,10.0,2015
"Wittenberg, Landkreis",Gymnasien,4.0,2970.0,1521.0,8.0,2015
"Erfurt, kreisfreie Stadt",Gymnasien,10.0,5846.0,3028.0,178.0,2015
"Gera, kreisfreie Stadt",Gymnasien,3.0,1719.0,970.0,28.0,2015
"Jena, kreisfreie Stadt",Gymnasien,7.0,3393.0,1616.0,112.0,2015
"Suhl, kreisfreie Stadt",Gymnasien,1.0,590.0,312.0,11.0,2015
"Weimar, kreisfreie Stadt",Gymnasien,4.0,2047.0,1078.0,25.0,2015
"Eisenach, kreisfreie Stadt",Gymnasien,3.0,1565.0,821.0,21.0,2015
"Eichsfeld, Kreis",Gymnasien,5.0,3157.0,1724.0,29.0,2015
"Nordhausen, Kreis",Gymnasien,3.0,1997.0,1066.0,26.0,2015
Wartburgkreis,Gymnasien,4.0,2317.0,1265.0,7.0,2015
Unstrut-Hainich-Kreis,Gymnasien,6.0,3006.0,1582.0,31.0,2015
Kyffhäuserkreis,Gymnasien,4.0,1706.0,901.0,35.0,2015
"Schmalkalden-Meiningen, Kreis",Gymnasien,6.0,2797.0,1550.0,30.0,2015
"Gotha, Kreis",Gymnasien,8.0,3960.0,2127.0,39.0,2015
"Sömmerda, Kreis",Gymnasien,3.0,1764.0,958.0,13.0,2015
"Hildburghausen, Kreis",Gymnasien,2.0,1147.0,636.0,3.0,2015
Ilm-Kreis,Gymnasien,4.0,2127.0,1132.0,24.0,2015
"Weimarer Land, Kreis",Gymnasien,3.0,1624.0,868.0,28.0,2015
"Sonneberg, Kreis",Gymnasien,2.0,1414.0,711.0,17.0,2015
"Saalfeld-Rudolstadt, Kreis",Gymnasien,4.0,2496.0,1377.0,13.0,2015
Saale-Holzland-Kreis,Gymnasien,5.0,1825.0,960.0,8.0,2015
Saale-Orla-Kreis,Gymnasien,4.0,1962.0,1105.0,9.0,2015
"Greiz, Kreis",Gymnasien,4.0,2260.0,1219.0,27.0,2015
"Altenburger Land, Kreis",Gymnasien,5.0,2264.0,1167.0,27.0,2015
"Flensburg, kreisfreie Stadt",Gymnasien,5.0,3396.0,1811.0,92.0,2016
"Kiel, Landeshauptstadt, kreisfreie Stadt",Gymnasien,11.0,7281.0,3760.0,303.0,2016
"Lübeck, Hansestadt, kreisfreie Stadt",Gymnasien,7.0,5326.0,2863.0,154.0,2016
"Neumünster, kreisfreie Stadt",Gymnasien,4.0,3262.0,1694.0,54.0,2016
"Dithmarschen, Landkreis",Gymnasien,6.0,3811.0,2072.0,62.0,2016
"Herzogtum Lauenburg, Landkreis",Gymnasien,5.0,4515.0,2408.0,96.0,2016
"Nordfriesland, Landkreis",Gymnasien,6.0,4315.0,2346.0,82.0,2016
"Ostholstein, Landkreis",Gymnasien,8.0,4738.0,2435.0,47.0,2016
"Pinneberg, Landkreis",Gymnasien,12.0,10052.0,5165.0,287.0,2016
"Plön, Landkreis",Gymnasien,4.0,2874.0,1518.0,37.0,2016
"Rendsburg-Eckernförde, Landkreis",Gymnasien,10.0,6399.0,3285.0,198.0,2016
"Schleswig-Flensburg, Landkreis",Gymnasien,4.0,3377.0,1820.0,43.0,2016
"Segeberg, Landkreis",Gymnasien,10.0,7685.0,7075.0,157.0,2016
"Steinburg, Landkreis",Gymnasien,4.0,3413.0,1793.0,97.0,2016
"Stormarn, Landkreis",Gymnasien,9.0,7560.0,3901.0,140.0,2016
Hamburg,Gymnasien,74.0,54631.0,28238.0,3768.0,2016
"Braunschweig, kreisfreie Stadt",Gymnasien,10.0,8648.0,4507.0,254.0,2016
"Salzgitter, kreisfreie Stadt",Gymnasien,3.0,2365.0,1250.0,411.0,2016
"Wolfsburg, kreisfreie Stadt",Gymnasien,6.0,4538.0,2419.0,252.0,2016
"Gifhorn, Landkreis",Gymnasien,5.0,4534.0,2469.0,93.0,2016
"Göttingen, Landkreis",Gymnasien,9.0,7950.0,4210.0,412.0,2016
"Goslar, Landkreis",Gymnasien,8.0,3498.0,1802.0,215.0,2016
"Helmstedt, Landkreis",Gymnasien,3.0,2298.0,1151.0,103.0,2016
"Northeim, Landkreis",Gymnasien,6.0,4751.0,2503.0,126.0,2016
"Osterode am Harz, Landkreis",Gymnasien,4.0,2133.0,1110.0,90.0,2016
"Peine, Landkreis",Gymnasien,4.0,3868.0,2040.0,162.0,2016
"Wolfenbüttel, Landkreis",Gymnasien,3.0,2838.0,1475.0,43.0,2016
"Region Hannover, Landkreis",Gymnasien,46.0,37277.0,19290.0,2392.0,2016
"Hannover, Landeshauptstadt",Gymnasien,22.0,16117.0,8313.0,1471.0,2016
"Diepholz, Landkreis",Gymnasien,10.0,6836.0,3635.0,184.0,2016
"Hameln-Pyrmont, Landkreis",Gymnasien,6.0,4590.0,2459.0,244.0,2016
"Hildesheim, Landkreis",Gymnasien,11.0,9003.0,4738.0,267.0,2016
"Holzminden, Landkreis",Gymnasien,2.0,1104.0,542.0,97.0,2016
"Nienburg (Weser), Landkreis",Gymnasien,4.0,3708.0,1968.0,83.0,2016
"Schaumburg, Landkreis",Gymnasien,5.0,5221.0,2724.0,294.0,2016
"Celle, Landkreis",Gymnasien,6.0,5335.0,2886.0,199.0,2016
"Cuxhaven, Landkreis",Gymnasien,9.0,5802.0,3143.0,107.0,2016
"Harburg, Landkreis",Gymnasien,9.0,8293.0,4244.0,231.0,2016
"Lüchow-Dannenberg, Landkreis",Gymnasien,3.0,1388.0,736.0,30.0,2016
"Lüneburg, Landkreis",Gymnasien,8.0,6661.0,3428.0,166.0,2016
"Osterholz, Landkreis",Gymnasien,5.0,3689.0,1938.0,92.0,2016
"Rotenburg (Wümme), Landkreis",Gymnasien,7.0,5320.0,2784.0,129.0,2016
"Heidekreis, Landkreis",Gymnasien,5.0,4443.0,2399.0,95.0,2016
"Stade, Landkreis",Gymnasien,6.0,5796.0,3128.0,162.0,2016
"Uelzen, Landkreis",Gymnasien,3.0,2763.0,1477.0,115.0,2016
"Verden, Landkreis",Gymnasien,5.0,4528.0,2402.0,153.0,2016
"Delmenhorst, kreisfreie Stadt",Gymnasien,2.0,2031.0,1055.0,99.0,2016
"Emden, kreisfreie Stadt",Gymnasien,2.0,1799.0,974.0,61.0,2016
"Oldenburg (Oldenburg), kreisfreie Stadt",Gymnasien,7.0,6428.0,3460.0,200.0,2016
"Osnabrück, kreisfreie Stadt",Gymnasien,8.0,7961.0,4285.0,342.0,2016
"Wilhelmshaven, kreisfreie Stadt",Gymnasien,2.0,1564.0,849.0,64.0,2016
"Ammerland, Landkreis",Gymnasien,3.0,3878.0,2038.0,83.0,2016
"Aurich, Landkreis",Gymnasien,7.0,4704.0,2521.0,124.0,2016
"Cloppenburg, Landkreis",Gymnasien,5.0,4537.0,2535.0,81.0,2016
"Emsland, Landkreis",Gymnasien,12.0,10266.0,5688.0,253.0,2016
"Friesland, Landkreis",Gymnasien,3.0,2083.0,1127.0,141.0,2016
"Grafschaft Bentheim, Landkreis",Gymnasien,6.0,4296.0,2322.0,272.0,2016
"Leer, Landkreis",Gymnasien,3.0,3197.0,1751.0,92.0,2016
"Oldenburg, Landkreis",Gymnasien,3.0,2769.0,1415.0,102.0,2016
"Osnabrück, Landkreis",Gymnasien,7.0,7217.0,3867.0,183.0,2016
"Vechta, Landkreis",Gymnasien,5.0,5074.0,2746.0,175.0,2016
"Wesermarsch, Landkreis",Gymnasien,5.0,3063.0,1693.0,133.0,2016
"Wittmund, Landkreis",Gymnasien,3.0,1726.0,934.0,78.0,2016
"Bremen, kreisfreie Stadt",Gymnasien,12.0,10352.0,5145.0,761.0,2016
"Bremerhaven, kreisfreie Stadt",Gymnasien,1.0,1355.0,693.0,163.0,2016
"Düsseldorf, kreisfreie Stadt",Gymnasien,22.0,18563.0,9728.0,1887.0,2016
"Duisburg, kreisfreie Stadt",Gymnasien,12.0,11081.0,5771.0,1047.0,2016
"Essen, kreisfreie Stadt",Gymnasien,21.0,17607.0,9452.0,1761.0,2016
"Krefeld, kreisfreie Stadt",Gymnasien,9.0,6785.0,3512.0,518.0,2016
"Mönchengladbach, kreisfreie Stadt",Gymnasien,9.0,6959.0,3695.0,381.0,2016
"Mülheim an der Ruhr, kreisfreie Stadt",Gymnasien,5.0,4746.0,2328.0,299.0,2016
"Oberhausen, kreisfreie Stadt",Gymnasien,5.0,4954.0,2642.0,371.0,2016
"Remscheid, kreisfreie Stadt",Gymnasien,4.0,3078.0,1593.0,167.0,2016
"Solingen, kreisfreie Stadt",Gymnasien,4.0,3587.0,1867.0,202.0,2016
"Wuppertal, kreisfreie Stadt",Gymnasien,9.0,8872.0,4615.0,941.0,2016
"Kleve, Kreis",Gymnasien,11.0,7944.0,4236.0,425.0,2016
"Mettmann, Kreis",Gymnasien,17.0,14065.0,7338.0,748.0,2016
Rhein-Kreis Neuss,Gymnasien,17.0,16515.0,8647.0,791.0,2016
"Viersen, Kreis",Gymnasien,11.0,9754.0,5061.0,399.0,2016
"Wesel, Kreis",Gymnasien,14.0,12158.0,6395.0,483.0,2016
"Bonn, kreisfreie Stadt",Gymnasien,19.0,15168.0,7832.0,814.0,2016
"Köln, kreisfreie Stadt",Gymnasien,36.0,30774.0,16241.0,2644.0,2016
"Leverkusen, kreisfreie Stadt",Gymnasien,5.0,5858.0,3089.0,321.0,2016
Städteregion Aachen (einschl. Stadt Aachen),Gymnasien,22.0,17390.0,8997.0,1046.0,2016
"Aachen, krfr. Stadt",Gymnasien,12.0,9303.0,4825.0,669.0,2016
"Düren, Kreis",Gymnasien,10.0,7666.0,4188.0,320.0,2016
Rhein-Erft-Kreis,Gymnasien,14.0,15262.0,7838.0,604.0,2016
"Euskirchen, Kreis",Gymnasien,9.0,6942.0,3646.0,190.0,2016
"Heinsberg, Kreis",Gymnasien,7.0,7121.0,3745.0,288.0,2016
Oberbergischer Kreis,Gymnasien,11.0,8399.0,4594.0,205.0,2016
Rheinisch-Bergischer Kreis,Gymnasien,10.0,9707.0,4933.0,307.0,2016
Rhein-Sieg-Kreis,Gymnasien,22.0,19470.0,10136.0,853.0,2016
"Bottrop, kreisfreie Stadt",Gymnasien,3.0,2965.0,1545.0,133.0,2016
"Gelsenkirchen, kreisfreie Stadt",Gymnasien,7.0,5191.0,2759.0,615.0,2016
"Münster, kreisfreie Stadt",Gymnasien,14.0,12140.0,6338.0,491.0,2016
"Borken, Kreis",Gymnasien,12.0,10696.0,5806.0,340.0,2016
"Coesfeld, Kreis",Gymnasien,10.0,6498.0,3470.0,233.0,2016
"Recklinghausen, Kreis",Gymnasien,19.0,15915.0,8404.0,588.0,2016
"Steinfurt, Kreis",Gymnasien,15.0,13359.0,7261.0,318.0,2016
"Warendorf, Kreis",Gymnasien,11.0,8855.0,4908.0,270.0,2016
"Bielefeld, kreisfreie Stadt",Gymnasien,11.0,9887.0,5224.0,508.0,2016
"Gütersloh, Kreis",Gymnasien,12.0,11413.0,6150.0,387.0,2016
"Herford, Kreis",Gymnasien,8.0,7116.0,3869.0,271.0,2016
"Höxter, Kreis",Gymnasien,10.0,5703.0,3131.0,78.0,2016
"Lippe, Kreis",Gymnasien,12.0,9501.0,5138.0,341.0,2016
"Minden-Lübbecke, Kreis",Gymnasien,10.0,9195.0,4903.0,283.0,2016
"Paderborn, Kreis",Gymnasien,9.0,8397.0,4633.0,174.0,2016
"Bochum, kreisfreie Stadt",Gymnasien,10.0,9066.0,4725.0,694.0,2016
"Dortmund, kreisfreie Stadt",Gymnasien,16.0,14601.0,7569.0,1680.0,2016
"Hagen, kreisfreie Stadt",Gymnasien,8.0,5448.0,2801.0,436.0,2016
"Hamm, kreisfreie Stadt",Gymnasien,6.0,4329.0,2261.0,232.0,2016
"Herne, kreisfreie Stadt",Gymnasien,5.0,3891.0,1968.0,308.0,2016
Ennepe-Ruhr-Kreis,Gymnasien,10.0,8751.0,4484.0,358.0,2016
Hochsauerlandkreis,Gymnasien,11.0,8113.0,4464.0,369.0,2016
Märkischer Kreis,Gymnasien,14.0,11238.0,6013.0,699.0,2016
"Olpe, Kreis",Gymnasien,6.0,4792.0,2651.0,127.0,2016
"Siegen-Wittgenstein, Kreis",Gymnasien,13.0,8299.0,4511.0,366.0,2016
"Soest, Kreis",Gymnasien,15.0,10817.0,5796.0,430.0,2016
"Unna, Kreis",Gymnasien,14.0,10898.0,5769.0,381.0,2016
"Darmstadt, kreisfreie Stadt",Gymnasien,12.0,8200.0,4260.0,544.0,2016
"Frankfurt am Main, kreisfreie Stadt",Gymnasien,31.0,21630.0,11232.0,2712.0,2016
"Offenbach am Main, kreisfreie Stadt",Gymnasien,5.0,3846.0,2136.0,743.0,2016
"Wiesbaden, Landeshauptstadt, kreisfreie Stadt",Gymnasien,11.0,9253.0,4816.0,661.0,2016
"Bergstraße, Landkreis",Gymnasien,13.0,8707.0,4603.0,511.0,2016
"Darmstadt-Dieburg, Landkreis",Gymnasien,15.0,8842.0,4584.0,463.0,2016
"Groß-Gerau, Landkreis",Gymnasien,8.0,6795.0,3555.0,642.0,2016
Hochtaunuskreis,Gymnasien,13.0,10758.0,5479.0,732.0,2016
Main-Kinzig-Kreis,Gymnasien,11.0,11931.0,6214.0,583.0,2016
Main-Taunus-Kreis,Gymnasien,13.0,8906.0,4405.0,681.0,2016
Odenwaldkreis,Gymnasien,4.0,2868.0,1553.0,123.0,2016
"Offenbach, Landkreis",Gymnasien,15.0,11136.0,5739.0,753.0,2016
Rheingau-Taunus-Kreis,Gymnasien,12.0,6309.0,3320.0,244.0,2016
Wetteraukreis,Gymnasien,16.0,11932.0,6273.0,500.0,2016
"Gießen, Landkreis",Gymnasien,11.0,6891.0,3657.0,286.0,2016
Lahn-Dill-Kreis,Gymnasien,9.0,5896.0,3165.0,227.0,2016
"Limburg-Weilburg, Landkreis",Gymnasien,7.0,5162.0,2823.0,123.0,2016
"Marburg-Biedenkopf, Landkreis",Gymnasien,12.0,7465.0,4012.0,306.0,2016
Vogelsbergkreis,Gymnasien,6.0,2607.0,1353.0,65.0,2016
"Kassel, kreisfreie Stadt",Gymnasien,9.0,6277.0,3331.0,390.0,2016
"Fulda, Landkreis",Gymnasien,11.0,5740.0,3142.0,152.0,2016
"Hersfeld-Rotenburg, Landkreis",Gymnasien,8.0,2954.0,1599.0,74.0,2016
"Kassel, Landkreis",Gymnasien,11.0,5229.0,2863.0,184.0,2016
Schwalm-Eder-Kreis,Gymnasien,12.0,5997.0,3227.0,124.0,2016
"Waldeck-Frankenberg, Landkreis",Gymnasien,6.0,4408.0,2349.0,146.0,2016
Werra-Meißner-Kreis,Gymnasien,8.0,2529.0,1392.0,50.0,2016
"Koblenz, kreisfreie Stadt",Gymnasien,7.0,5691.0,2907.0,247.0,2016
"Ahrweiler, Landkreis",Gymnasien,6.0,4950.0,2636.0,129.0,2016
"Altenkirchen (Westerwald), Landkreis",Gymnasien,3.0,2971.0,1610.0,75.0,2016
"Bad Kreuznach, Landkreis",Gymnasien,7.0,5249.0,2846.0,233.0,2016
"Birkenfeld, Landkreis",Gymnasien,3.0,2078.0,1081.0,65.0,2016
"Cochem-Zell, Landkreis",Gymnasien,1.0,801.0,445.0,24.0,2016
"Mayen-Koblenz, Landkreis",Gymnasien,7.0,5934.0,3364.0,129.0,2016
"Neuwied, Landkreis",Gymnasien,5.0,4918.0,2631.0,184.0,2016
Rhein-Hunsrück-Kreis,Gymnasien,3.0,2341.0,1258.0,52.0,2016
Rhein-Lahn-Kreis,Gymnasien,7.0,3911.0,2011.0,124.0,2016
Westerwaldkreis,Gymnasien,7.0,5274.0,2740.0,207.0,2016
"Trier, kreisfreie Stadt",Gymnasien,6.0,4947.0,2667.0,258.0,2016
"Bernkastel-Wittlich, Landkreis",Gymnasien,4.0,3090.0,1747.0,76.0,2016
Eifelkreis Bitburg-Prüm,Gymnasien,6.0,3562.0,1941.0,201.0,2016
"Vulkaneifel, Landkreis",Gymnasien,3.0,2174.0,1199.0,34.0,2016
"Trier-Saarburg, Landkreis",Gymnasien,5.0,4107.0,2126.0,133.0,2016
"Frankenthal (Pfalz), kreisfreie Stadt",Gymnasien,2.0,2497.0,1343.0,126.0,2016
"Kaiserslautern, kreisfreie Stadt",Gymnasien,6.0,5305.0,2786.0,290.0,2016
"Landau in der Pfalz, kreisfreie Stadt",Gymnasien,4.0,3344.0,1858.0,110.0,2016
"Ludwigshafen am Rhein, kreisfreie Stadt",Gymnasien,6.0,5100.0,2732.0,534.0,2016
"Mainz, kreisfreie Stadt",Gymnasien,9.0,8891.0,4595.0,580.0,2016
"Neustadt an der Weinstraße, kreisfreie Stadt",Gymnasien,3.0,2817.0,1510.0,115.0,2016
"Pirmasens, kreisfreie Stadt",Gymnasien,3.0,1969.0,1030.0,68.0,2016
"Speyer, kreisfreie Stadt",Gymnasien,5.0,3947.0,2261.0,125.0,2016
"Worms, kreisfreie Stadt",Gymnasien,3.0,3042.0,1654.0,114.0,2016
"Zweibrücken, kreisfreie Stadt",Gymnasien,2.0,1995.0,1059.0,38.0,2016
"Alzey-Worms, Landkreis",Gymnasien,3.0,3356.0,1810.0,118.0,2016
"Bad Dürkheim, Landkreis",Gymnasien,3.0,3128.0,1577.0,110.0,2016
Donnersbergkreis,Gymnasien,3.0,2316.0,1244.0,78.0,2016
"Germersheim, Landkreis",Gymnasien,2.0,2536.0,1340.0,101.0,2016
"Kaiserslautern, Landkreis",Gymnasien,2.0,1704.0,869.0,125.0,2016
"Kusel, Landkreis",Gymnasien,2.0,1197.0,628.0,23.0,2016
"Südliche Weinstraße, Landkreis",Gymnasien,4.0,3480.0,1723.0,107.0,2016
Rhein-Pfalz-Kreis,Gymnasien,2.0,1918.0,958.0,105.0,2016
"Mainz-Bingen, Landkreis",Gymnasien,6.0,7653.0,4125.0,226.0,2016
"Südwestpfalz, Landkreis",Gymnasien,1.0,532.0,276.0,10.0,2016
"Stuttgart, Landeshauptstadt, Stadtkreis",Gymnasien,33.0,19855.0,10310.0,2171.0,2016
"Böblingen, Landkreis",Gymnasien,17.0,11468.0,5755.0,582.0,2016
"Esslingen, Landkreis",Gymnasien,19.0,15423.0,7894.0,703.0,2016
"Göppingen, Landkreis",Gymnasien,9.0,6239.0,3294.0,197.0,2016
"Ludwigsburg, Landkreis",Gymnasien,22.0,16248.0,8365.0,908.0,2016
"Rems-Murr-Kreis, Landkreis",Gymnasien,16.0,10465.0,5440.0,491.0,2016
"Heilbronn, Universitätsstadt, Stadtkreis",Gymnasien,6.0,4192.0,2179.0,292.0,2016
"Heilbronn, Landkreis",Gymnasien,11.0,7601.0,4047.0,261.0,2016
"Hohenlohekreis, Landkreis",Gymnasien,4.0,2212.0,1190.0,57.0,2016
"Schwäbisch Hall, Landkreis",Gymnasien,8.0,4583.0,2406.0,161.0,2016
"Main-Tauber-Kreis, Landkreis",Gymnasien,5.0,3088.0,1661.0,57.0,2016
"Heidenheim, Landkreis",Gymnasien,7.0,3592.0,1811.0,161.0,2016
"Ostalbkreis, Landkreis",Gymnasien,17.0,9545.0,5123.0,233.0,2016
"Baden-Baden, Stadtkreis",Gymnasien,5.0,2445.0,1285.0,142.0,2016
"Karlsruhe, Stadtkreis",Gymnasien,14.0,9870.0,5129.0,584.0,2016
"Karlsruhe, Landkreis",Gymnasien,17.0,11506.0,5811.0,426.0,2016
"Rastatt, Landkreis",Gymnasien,6.0,4703.0,2423.0,256.0,2016
"Heidelberg, Stadtkreis",Gymnasien,8.0,6199.0,3174.0,370.0,2016
"Mannheim, Stadtkreis",Gymnasien,13.0,8986.0,4575.0,640.0,2016
"Neckar-Odenwald-Kreis, Landkreis",Gymnasien,6.0,4232.0,2209.0,55.0,2016
"Rhein-Neckar-Kreis, Landkreis",Gymnasien,23.0,15163.0,7675.0,579.0,2016
"Pforzheim, Stadtkreis",Gymnasien,6.0,4734.0,2481.0,298.0,2016
"Calw, Landkreis",Gymnasien,5.0,3796.0,1970.0,145.0,2016
"Enzkreis, Landkreis",Gymnasien,7.0,3586.0,1909.0,129.0,2016
"Freudenstadt, Landkreis",Gymnasien,5.0,2580.0,1338.0,104.0,2016
"Freiburg im Breisgau, Stadtkreis",Gymnasien,13.0,8757.0,4766.0,980.0,2016
"Breisgau-Hochschwarzwald, Landkreis",Gymnasien,10.0,6872.0,3400.0,283.0,2016
"Emmendingen, Landkreis",Gymnasien,4.0,3139.0,1534.0,119.0,2016
"Ortenaukreis, Landkreis",Gymnasien,17.0,12096.0,6583.0,524.0,2016
"Rottweil, Landkreis",Gymnasien,6.0,3606.0,1953.0,99.0,2016
"Schwarzwald-Baar-Kreis, Landkreis",Gymnasien,9.0,5114.0,2736.0,228.0,2016
"Tuttlingen, Landkreis",Gymnasien,5.0,3317.0,1736.0,159.0,2016
"Konstanz, Landkreis",Gymnasien,10.0,7724.0,4144.0,467.0,2016
"Lörrach, Landkreis",Gymnasien,9.0,6168.0,3278.0,358.0,2016
"Waldshut, Landkreis",Gymnasien,4.0,3542.0,1860.0,306.0,2016
"Reutlingen, Landkreis",Gymnasien,10.0,7794.0,4151.0,398.0,2016
"Tübingen, Landkreis",Gymnasien,12.0,8861.0,4595.0,321.0,2016
"Zollernalbkreis, Landkreis",Gymnasien,8.0,3890.0,2054.0,123.0,2016
"Ulm, Stadtkreis",Gymnasien,8.0,5740.0,3043.0,301.0,2016
"Alb-Donau-Kreis, Landkreis",Gymnasien,7.0,3321.0,1699.0,117.0,2016
"Biberach, Landkreis",Gymnasien,8.0,4817.0,2581.0,160.0,2016
"Bodenseekreis, Landkreis",Gymnasien,8.0,5162.0,2569.0,346.0,2016
"Ravensburg, Landkreis",Gymnasien,14.0,8463.0,4493.0,173.0,2016
"Sigmaringen, Landkreis",Gymnasien,8.0,3905.0,2246.0,117.0,2016
Ingolstadt,Gymnasien,6.0,4595.0,2483.0,237.0,2016
"München, Landeshauptstadt",Gymnasien,55.0,38731.0,20329.0,3433.0,2016
Rosenheim,Gymnasien,3.0,2978.0,1607.0,115.0,2016
"Altötting, Landkreis",Gymnasien,4.0,2428.0,1365.0,58.0,2016
"Berchtesgadener Land, Landkreis",Gymnasien,4.0,2173.0,1076.0,170.0,2016
"Bad Tölz-Wolfratshausen, Landkreis",Gymnasien,7.0,3743.0,1969.0,140.0,2016
"Dachau, Landkreis",Gymnasien,3.0,3550.0,1761.0,172.0,2016
"Ebersberg, Landkreis",Gymnasien,4.0,4936.0,2534.0,207.0,2016
