City,Total,Man,Woman,Year
      Rhein-Hunsrück-Kreis,1201.0,578.0,623.0,2012
      Rhein-Lahn-Kreis,1470.0,709.0,761.0,2012
      Westerwaldkreis,2212.0,1051.0,1161.0,2012
"    Trier, Stat. Region",5476.0,2577.0,2899.0,2012
"      Trier, kreisfreie Stadt",1027.0,457.0,570.0,2012
"      Bernkastel-Wittlich, Landkreis",1208.0,580.0,628.0,2012
      Eifelkreis Bitburg-Prüm,1063.0,502.0,561.0,2012
"      Vulkaneifel, Landkreis",768.0,373.0,395.0,2012
"      Trier-Saarburg, Landkreis",1410.0,665.0,745.0,2012
"    Rheinhessen-Pfalz, Stat. Region",21436.0,10298.0,11138.0,2012
"      Frankenthal (Pfalz), kreisfreie Stadt",509.0,235.0,274.0,2012
"      Kaiserslautern, kreisfreie Stadt",1125.0,532.0,593.0,2012
"      Landau in der Pfalz, kreisfreie Stadt",429.0,205.0,224.0,2012
"      Ludwigshafen am Rhein, kreisfreie Stadt",1685.0,813.0,872.0,2012
"      Mainz, kreisfreie Stadt",1825.0,838.0,987.0,2012
"      Neustadt an der Weinstraße, kreisfreie Stadt",650.0,274.0,376.0,2012
"      Pirmasens, kreisfreie Stadt",630.0,307.0,323.0,2012
"      Speyer, kreisfreie Stadt",586.0,274.0,312.0,2012
"      Worms, kreisfreie Stadt",899.0,427.0,472.0,2012
"      Zweibrücken, kreisfreie Stadt",426.0,208.0,218.0,2012
"      Alzey-Worms, Landkreis",1243.0,593.0,650.0,2012
"      Bad Dürkheim, Landkreis",1561.0,776.0,785.0,2012
      Donnersbergkreis,897.0,447.0,450.0,2012
"      Germersheim, Landkreis",1183.0,581.0,602.0,2012
"      Kaiserslautern, Landkreis",1164.0,566.0,598.0,2012
"      Kusel, Landkreis",980.0,469.0,511.0,2012
"      Südliche Weinstraße, Landkreis",1123.0,544.0,579.0,2012
      Rhein-Pfalz-Kreis,1553.0,773.0,780.0,2012
"      Mainz-Bingen, Landkreis",1766.0,826.0,940.0,2012
"      Südwestpfalz, Landkreis",1202.0,610.0,592.0,2012
Deutschland,893825.0,429645.0,464180.0,2013
  Rheinland-Pfalz,45532.0,21950.0,23582.0,2013
"    Koblenz, Stat. Region",17838.0,8605.0,9233.0,2013
"      Koblenz, kreisfreie Stadt",1353.0,622.0,731.0,2013
"      Ahrweiler, Landkreis",1498.0,675.0,823.0,2013
"      Altenkirchen (Westerwald), Landkreis",1554.0,769.0,785.0,2013
"      Bad Kreuznach, Landkreis",1925.0,912.0,1013.0,2013
"      Birkenfeld, Landkreis",1143.0,546.0,597.0,2013
"      Cochem-Zell, Landkreis",829.0,406.0,423.0,2013
"      Mayen-Koblenz, Landkreis",2379.0,1147.0,1232.0,2013
"      Neuwied, Landkreis",2275.0,1139.0,1136.0,2013
      Rhein-Hunsrück-Kreis,1133.0,538.0,595.0,2013
      Rhein-Lahn-Kreis,1486.0,719.0,767.0,2013
      Westerwaldkreis,2263.0,1132.0,1131.0,2013
"    Trier, Stat. Region",5733.0,2757.0,2976.0,2013
"      Trier, kreisfreie Stadt",1052.0,480.0,572.0,2013
