City,Total,Mining and extraction of stones and earth ,Manufacturing,Power Supply,Water Supply,Construction Industry,"Trade, maintance and repair motor vehicle",Traffic and warehousing,Hospitality,Information and communication,Provision of Finace and insurance service,Real estate and housing,"Freelance, science technology services",Other Economic services,Education and Teaching,Helth and social care,"Art, Entertainment and Recreation",Provision and other services,Year
"Kaiserslautern, Landkreis",4012.0,1.0,289.0,95.0,34.0,598.0,855.0,128.0,395.0,85.0,109.0,121.0,394.0,207.0,129.0,266.0,70.0,236.0,2015
"Kusel, Landkreis",2228.0,3.0,193.0,37.0,13.0,316.0,505.0,76.0,199.0,46.0,53.0,39.0,204.0,90.0,102.0,174.0,39.0,139.0,2015
"Südliche Weinstraße, Landkreis",4831.0,4.0,420.0,116.0,21.0,583.0,1013.0,106.0,584.0,144.0,146.0,134.0,493.0,249.0,151.0,280.0,118.0,269.0,2015
Rhein-Pfalz-Kreis,5556.0,3.0,394.0,81.0,34.0,736.0,1176.0,268.0,393.0,179.0,128.0,161.0,629.0,381.0,158.0,338.0,128.0,369.0,2015
"Mainz-Bingen, Landkreis",8901.0,6.0,570.0,107.0,27.0,1039.0,1547.0,267.0,710.0,414.0,211.0,358.0,1423.0,544.0,297.0,545.0,279.0,557.0,2015
"Südwestpfalz, Landkreis",3547.0,0.0,368.0,54.0,13.0,519.0,808.0,106.0,352.0,89.0,78.0,95.0,301.0,178.0,110.0,202.0,73.0,201.0,2015
"Koblenz, kreisfreie Stadt",5586.0,1.0,246.0,30.0,22.0,372.0,1155.0,259.0,476.0,255.0,157.0,290.0,822.0,339.0,158.0,502.0,156.0,346.0,2016
"Ahrweiler, Landkreis",6127.0,7.0,487.0,59.0,28.0,803.0,1220.0,187.0,635.0,176.0,129.0,215.0,701.0,384.0,149.0,403.0,196.0,348.0,2016
"Altenkirchen (Westerwald), Landkreis",5194.0,0.0,598.0,73.0,35.0,683.0,1093.0,142.0,309.0,121.0,137.0,224.0,575.0,304.0,159.0,324.0,100.0,317.0,2016
"Bad Kreuznach, Landkreis",6715.0,8.0,524.0,85.0,25.0,740.0,1406.0,212.0,562.0,211.0,166.0,242.0,841.0,428.0,224.0,468.0,146.0,427.0,2016
"Birkenfeld, Landkreis",3647.0,3.0,557.0,44.0,23.0,370.0,950.0,82.0,263.0,62.0,98.0,111.0,301.0,170.0,90.0,244.0,74.0,205.0,2016
"Cochem-Zell, Landkreis",2904.0,1.0,213.0,72.0,6.0,351.0,618.0,84.0,563.0,66.0,56.0,82.0,180.0,135.0,78.0,198.0,42.0,159.0,2016
"Mayen-Koblenz, Landkreis",8934.0,26.0,836.0,145.0,31.0,1037.0,2055.0,365.0,661.0,226.0,240.0,322.0,983.0,487.0,246.0,574.0,211.0,489.0,2016
"Neuwied, Landkreis",8360.0,6.0,749.0,91.0,28.0,1186.0,1784.0,261.0,547.0,262.0,186.0,312.0,1031.0,512.0,212.0,525.0,209.0,459.0,2016
Rhein-Hunsrück-Kreis,4745.0,3.0,391.0,117.0,17.0,659.0,969.0,167.0,431.0,136.0,115.0,195.0,519.0,285.0,146.0,265.0,99.0,231.0,2016
Rhein-Lahn-Kreis,5084.0,4.0,418.0,79.0,22.0,570.0,986.0,145.0,476.0,145.0,109.0,148.0,626.0,346.0,170.0,352.0,143.0,345.0,2016
Westerwaldkreis,9290.0,27.0,1053.0,134.0,35.0,1201.0,1974.0,266.0,555.0,284.0,210.0,388.0,1138.0,547.0,291.0,522.0,177.0,488.0,2016
"Trier, kreisfreie Stadt",5103.0,3.0,307.0,43.0,18.0,310.0,1236.0,154.0,453.0,135.0,133.0,285.0,720.0,273.0,135.0,427.0,127.0,344.0,2016
"Bernkastel-Wittlich, Landkreis",4915.0,9.0,471.0,113.0,17.0,575.0,1052.0,148.0,688.0,72.0,120.0,164.0,438.0,250.0,121.0,318.0,109.0,250.0,2016
Eifelkreis Bitburg-Prüm,4055.0,9.0,394.0,290.0,23.0,474.0,824.0,126.0,436.0,70.0,116.0,156.0,331.0,147.0,100.0,216.0,110.0,233.0,2016
"Vulkaneifel, Landkreis",2641.0,14.0,264.0,77.0,15.0,317.0,563.0,90.0,267.0,54.0,57.0,89.0,257.0,127.0,82.0,158.0,70.0,140.0,2016
"Trier-Saarburg, Landkreis",5012.0,8.0,434.0,85.0,30.0,716.0,956.0,149.0,545.0,105.0,136.0,210.0,535.0,258.0,151.0,300.0,98.0,296.0,2016
"Frankenthal (Pfalz), kreisfreie Stadt",1871.0,0.0,134.0,12.0,4.0,198.0,414.0,88.0,158.0,39.0,36.0,83.0,216.0,97.0,46.0,168.0,40.0,138.0,2016
"Kaiserslautern, kreisfreie Stadt",4518.0,2.0,228.0,39.0,8.0,319.0,958.0,144.0,424.0,168.0,116.0,219.0,671.0,242.0,132.0,411.0,117.0,320.0,2016
"Landau in der Pfalz, kreisfreie Stadt",2375.0,2.0,136.0,20.0,13.0,183.0,523.0,40.0,187.0,94.0,58.0,117.0,379.0,117.0,76.0,219.0,63.0,148.0,2016
"Ludwigshafen am Rhein, kreisfreie Stadt",5612.0,1.0,276.0,45.0,18.0,647.0,1069.0,259.0,550.0,174.0,112.0,220.0,684.0,395.0,145.0,499.0,134.0,384.0,2016
"Mainz, kreisfreie Stadt",10334.0,3.0,381.0,67.0,20.0,636.0,1619.0,342.0,724.0,628.0,256.0,983.0,1780.0,631.0,273.0,790.0,434.0,767.0,2016
"Neustadt an der Weinstraße, kreisfreie Stadt",2784.0,0.0,154.0,26.0,5.0,281.0,539.0,69.0,247.0,95.0,71.0,122.0,462.0,135.0,77.0,228.0,76.0,197.0,2016
"Pirmasens, kreisfreie Stadt",2052.0,0.0,174.0,14.0,8.0,174.0,545.0,58.0,153.0,51.0,47.0,90.0,238.0,104.0,33.0,182.0,50.0,131.0,2016
"Speyer, kreisfreie Stadt",2614.0,4.0,154.0,18.0,10.0,212.0,588.0,77.0,240.0,73.0,69.0,104.0,353.0,146.0,83.0,206.0,91.0,186.0,2016
"Worms, kreisfreie Stadt",3522.0,1.0,217.0,36.0,13.0,399.0,731.0,128.0,292.0,116.0,76.0,150.0,444.0,213.0,78.0,250.0,141.0,237.0,2016
"Zweibrücken, kreisfreie Stadt",1465.0,1.0,109.0,17.0,8.0,110.0,372.0,46.0,116.0,50.0,41.0,59.0,166.0,82.0,53.0,123.0,39.0,73.0,2016
"Alzey-Worms, Landkreis",5229.0,6.0,391.0,234.0,22.0,653.0,1043.0,168.0,394.0,178.0,121.0,163.0,654.0,363.0,151.0,261.0,125.0,302.0,2016
"Bad Dürkheim, Landkreis",5978.0,1.0,408.0,74.0,19.0,671.0,1199.0,169.0,644.0,180.0,135.0,232.0,823.0,384.0,187.0,372.0,154.0,326.0,2016
Donnersbergkreis,2779.0,4.0,268.0,77.0,17.0,320.0,550.0,97.0,222.0,61.0,74.0,68.0,326.0,169.0,110.0,196.0,62.0,158.0,2016
"Germersheim, Landkreis",4941.0,14.0,367.0,76.0,40.0,597.0,1032.0,190.0,404.0,147.0,125.0,143.0,552.0,286.0,199.0,298.0,152.0,319.0,2016
"Kaiserslautern, Landkreis",4084.0,1.0,286.0,92.0,37.0,601.0,852.0,129.0,398.0,89.0,110.0,125.0,406.0,224.0,133.0,280.0,77.0,244.0,2016
"Kusel, Landkreis",2239.0,2.0,179.0,38.0,16.0,332.0,506.0,69.0,206.0,40.0,57.0,38.0,201.0,102.0,96.0,175.0,44.0,138.0,2016
"Südliche Weinstraße, Landkreis",4876.0,4.0,416.0,118.0,23.0,580.0,1002.0,107.0,590.0,136.0,146.0,146.0,505.0,268.0,159.0,276.0,121.0,279.0,2016
Rhein-Pfalz-Kreis,5587.0,5.0,386.0,83.0,38.0,737.0,1167.0,264.0,410.0,180.0,130.0,180.0,653.0,362.0,169.0,332.0,117.0,374.0,2016
"Mainz-Bingen, Landkreis",9046.0,5.0,555.0,120.0,31.0,1051.0,1558.0,274.0,704.0,431.0,208.0,374.0,1456.0,587.0,301.0,551.0,290.0,550.0,2016
"Südwestpfalz, Landkreis",3559.0,0.0,350.0,57.0,13.0,516.0,825.0,100.0,349.0,98.0,73.0,95.0,308.0,178.0,119.0,203.0,73.0,202.0,2016
"Koblenz, kreisfreie Stadt",5586.0,1.0,237.0,27.0,19.0,365.0,1158.0,250.0,472.0,242.0,148.0,295.0,847.0,338.0,163.0,498.0,164.0,362.0,2017
"Ahrweiler, Landkreis",6158.0,7.0,487.0,65.0,26.0,806.0,1209.0,191.0,624.0,172.0,126.0,216.0,701.0,403.0,159.0,406.0,195.0,365.0,2017
"Altenkirchen (Westerwald), Landkreis",5117.0,1.0,601.0,74.0,29.0,681.0,1064.0,139.0,297.0,121.0,138.0,218.0,560.0,297.0,161.0,323.0,102.0,311.0,2017
"Bad Kreuznach, Landkreis",6707.0,8.0,509.0,80.0,28.0,745.0,1393.0,207.0,545.0,208.0,159.0,249.0,864.0,421.0,235.0,466.0,174.0,416.0,2017
"Birkenfeld, Landkreis",3602.0,2.0,532.0,34.0,23.0,364.0,951.0,82.0,264.0,68.0,89.0,118.0,301.0,169.0,89.0,246.0,74.0,196.0,2017
"Cochem-Zell, Landkreis",2865.0,1.0,207.0,76.0,6.0,338.0,607.0,82.0,561.0,63.0,58.0,86.0,179.0,135.0,73.0,198.0,40.0,155.0,2017
"Mayen-Koblenz, Landkreis",8878.0,25.0,800.0,135.0,27.0,1049.0,1991.0,362.0,669.0,223.0,244.0,320.0,1011.0,520.0,245.0,565.0,220.0,472.0,2017
"Neuwied, Landkreis",8209.0,7.0,739.0,87.0,29.0,1100.0,1757.0,266.0,524.0,257.0,189.0,317.0,1012.0,502.0,215.0,533.0,210.0,465.0,2017
Rhein-Hunsrück-Kreis,4692.0,2.0,373.0,116.0,18.0,657.0,950.0,179.0,407.0,139.0,109.0,204.0,524.0,265.0,143.0,270.0,107.0,229.0,2017
Rhein-Lahn-Kreis,5031.0,4.0,423.0,83.0,24.0,573.0,969.0,132.0,462.0,132.0,110.0,163.0,614.0,332.0,173.0,352.0,143.0,342.0,2017
Westerwaldkreis,9153.0,26.0,1043.0,134.0,36.0,1188.0,1938.0,266.0,545.0,296.0,209.0,389.0,1105.0,524.0,295.0,523.0,171.0,465.0,2017
"Trier, kreisfreie Stadt",4861.0,3.0,255.0,42.0,16.0,283.0,1141.0,138.0,459.0,149.0,134.0,279.0,708.0,238.0,128.0,419.0,125.0,344.0,2017
"Bernkastel-Wittlich, Landkreis",4936.0,9.0,450.0,120.0,19.0,569.0,1050.0,139.0,685.0,72.0,138.0,169.0,436.0,267.0,124.0,327.0,116.0,246.0,2017
Eifelkreis Bitburg-Prüm,4059.0,8.0,393.0,262.0,22.0,466.0,840.0,123.0,416.0,75.0,137.0,156.0,338.0,154.0,100.0,218.0,117.0,234.0,2017
"Vulkaneifel, Landkreis",2624.0,11.0,257.0,75.0,14.0,320.0,558.0,84.0,266.0,54.0,67.0,82.0,250.0,127.0,79.0,161.0,74.0,145.0,2017
"Trier-Saarburg, Landkreis",5006.0,8.0,442.0,79.0,27.0,691.0,972.0,146.0,532.0,107.0,135.0,203.0,526.0,275.0,145.0,309.0,113.0,296.0,2017
"Frankenthal (Pfalz), kreisfreie Stadt",1809.0,0.0,127.0,11.0,4.0,187.0,393.0,86.0,160.0,39.0,29.0,77.0,214.0,101.0,42.0,162.0,46.0,131.0,2017
"Kaiserslautern, kreisfreie Stadt",4485.0,2.0,224.0,40.0,8.0,323.0,955.0,151.0,440.0,168.0,119.0,215.0,641.0,237.0,129.0,415.0,120.0,298.0,2017
"Landau in der Pfalz, kreisfreie Stadt",2390.0,2.0,134.0,20.0,14.0,189.0,515.0,39.0,188.0,96.0,66.0,121.0,375.0,119.0,79.0,224.0,63.0,146.0,2017
"Ludwigshafen am Rhein, kreisfreie Stadt",5591.0,1.0,266.0,45.0,16.0,674.0,1025.0,256.0,548.0,181.0,115.0,217.0,676.0,409.0,143.0,497.0,132.0,390.0,2017
"Mainz, kreisfreie Stadt",10342.0,3.0,376.0,66.0,20.0,653.0,1593.0,342.0,720.0,618.0,261.0,1005.0,1761.0,661.0,283.0,793.0,420.0,767.0,2017
"Neustadt an der Weinstraße, kreisfreie Stadt",2744.0,0.0,149.0,29.0,6.0,278.0,532.0,67.0,226.0,96.0,72.0,113.0,448.0,141.0,78.0,224.0,86.0,199.0,2017
"Pirmasens, kreisfreie Stadt",2026.0,0.0,169.0,13.0,8.0,177.0,532.0,56.0,150.0,47.0,47.0,97.0,234.0,103.0,35.0,183.0,48.0,127.0,2017
"Speyer, kreisfreie Stadt",2607.0,4.0,154.0,19.0,10.0,210.0,580.0,79.0,229.0,71.0,70.0,108.0,355.0,153.0,82.0,207.0,89.0,187.0,2017
"Worms, kreisfreie Stadt",3525.0,2.0,214.0,32.0,13.0,421.0,721.0,135.0,283.0,108.0,71.0,155.0,443.0,219.0,83.0,255.0,145.0,225.0,2017
"Zweibrücken, kreisfreie Stadt",1464.0,1.0,106.0,13.0,8.0,113.0,371.0,46.0,119.0,53.0,41.0,58.0,168.0,83.0,49.0,123.0,38.0,74.0,2017
"Alzey-Worms, Landkreis",5233.0,6.0,383.0,232.0,21.0,651.0,1032.0,166.0,388.0,191.0,115.0,165.0,646.0,379.0,151.0,271.0,133.0,303.0,2017
"Bad Dürkheim, Landkreis",6025.0,1.0,400.0,83.0,17.0,693.0,1185.0,172.0,648.0,174.0,135.0,238.0,825.0,390.0,196.0,370.0,162.0,336.0,2017
Donnersbergkreis,2788.0,3.0,267.0,75.0,18.0,327.0,558.0,90.0,235.0,62.0,70.0,70.0,321.0,178.0,106.0,192.0,57.0,159.0,2017
"Germersheim, Landkreis",4958.0,14.0,364.0,70.0,37.0,620.0,1040.0,183.0,410.0,157.0,122.0,139.0,543.0,283.0,189.0,298.0,163.0,326.0,2017
"Kaiserslautern, Landkreis",4063.0,2.0,277.0,87.0,35.0,606.0,855.0,118.0,388.0,86.0,106.0,139.0,401.0,222.0,127.0,277.0,80.0,257.0,2017
"Kusel, Landkreis",2227.0,2.0,177.0,47.0,18.0,327.0,498.0,70.0,197.0,37.0,56.0,45.0,202.0,100.0,96.0,178.0,47.0,130.0,2017
"Südliche Weinstraße, Landkreis",4839.0,3.0,421.0,116.0,24.0,581.0,977.0,106.0,581.0,139.0,133.0,146.0,500.0,264.0,159.0,281.0,127.0,281.0,2017
Rhein-Pfalz-Kreis,5558.0,6.0,377.0,82.0,35.0,735.0,1154.0,253.0,407.0,187.0,129.0,185.0,653.0,367.0,166.0,338.0,129.0,355.0,2017
"Mainz-Bingen, Landkreis",9019.0,5.0,543.0,120.0,26.0,1075.0,1571.0,283.0,710.0,401.0,209.0,372.0,1415.0,584.0,310.0,553.0,281.0,561.0,2017
"Südwestpfalz, Landkreis",3536.0,0.0,343.0,59.0,13.0,516.0,817.0,102.0,349.0,99.0,71.0,101.0,308.0,185.0,116.0,194.0,67.0,196.0,2017
"Koblenz, kreisfreie Stadt",5562.0,1.0,224.0,25.0,19.0,363.0,1132.0,248.0,479.0,251.0,133.0,301.0,864.0,337.0,165.0,489.0,168.0,363.0,2018
"Ahrweiler, Landkreis",6176.0,7.0,467.0,75.0,26.0,808.0,1184.0,186.0,644.0,183.0,125.0,237.0,691.0,409.0,167.0,407.0,199.0,361.0,2018
"Altenkirchen (Westerwald), Landkreis",5106.0,1.0,581.0,77.0,28.0,678.0,1049.0,134.0,294.0,127.0,143.0,225.0,576.0,302.0,160.0,320.0,100.0,311.0,2018
"Bad Kreuznach, Landkreis",6724.0,8.0,493.0,94.0,27.0,741.0,1391.0,196.0,547.0,212.0,160.0,265.0,870.0,440.0,226.0,455.0,175.0,424.0,2018
"Birkenfeld, Landkreis",3596.0,2.0,514.0,42.0,24.0,368.0,957.0,80.0,268.0,66.0,83.0,115.0,297.0,168.0,91.0,239.0,80.0,202.0,2018
"Cochem-Zell, Landkreis",2900.0,1.0,205.0,84.0,5.0,336.0,604.0,83.0,574.0,63.0,50.0,86.0,193.0,149.0,73.0,195.0,44.0,155.0,2018
"Mayen-Koblenz, Landkreis",8897.0,24.0,801.0,143.0,28.0,1047.0,1998.0,339.0,666.0,230.0,234.0,335.0,997.0,536.0,249.0,578.0,212.0,480.0,2018
"Neuwied, Landkreis",8170.0,8.0,718.0,97.0,29.0,1076.0,1727.0,267.0,510.0,266.0,183.0,324.0,1009.0,525.0,216.0,539.0,216.0,460.0,2018
Rhein-Hunsrück-Kreis,4710.0,2.0,370.0,111.0,18.0,661.0,932.0,182.0,414.0,135.0,105.0,208.0,541.0,271.0,144.0,277.0,112.0,227.0,2018
Rhein-Lahn-Kreis,5033.0,4.0,411.0,84.0,26.0,570.0,943.0,139.0,481.0,133.0,110.0,169.0,623.0,361.0,164.0,339.0,138.0,338.0,2018
Westerwaldkreis,9154.0,25.0,1025.0,127.0,38.0,1199.0,1925.0,262.0,531.0,307.0,206.0,393.0,1138.0,535.0,287.0,526.0,169.0,461.0,2018
"Trier, kreisfreie Stadt",4865.0,2.0,248.0,47.0,16.0,279.0,1138.0,132.0,456.0,152.0,142.0,280.0,711.0,241.0,131.0,413.0,121.0,356.0,2018
"Bernkastel-Wittlich, Landkreis",4998.0,8.0,445.0,144.0,17.0,572.0,1035.0,154.0,668.0,79.0,130.0,168.0,448.0,286.0,129.0,338.0,131.0,246.0,2018
Eifelkreis Bitburg-Prüm,4125.0,8.0,381.0,303.0,25.0,472.0,818.0,118.0,425.0,69.0,140.0,176.0,335.0,176.0,108.0,221.0,115.0,235.0,2018
"Vulkaneifel, Landkreis",2657.0,10.0,254.0,84.0,13.0,320.0,563.0,83.0,279.0,51.0,69.0,85.0,254.0,139.0,79.0,155.0,73.0,146.0,2018
"Trier-Saarburg, Landkreis",5060.0,7.0,440.0,91.0,25.0,678.0,986.0,153.0,535.0,97.0,143.0,214.0,543.0,286.0,142.0,309.0,107.0,304.0,2018
"Frankenthal (Pfalz), kreisfreie Stadt",1805.0,0.0,121.0,12.0,4.0,201.0,388.0,76.0,163.0,38.0,28.0,81.0,217.0,109.0,37.0,157.0,47.0,126.0,2018
"Kaiserslautern, kreisfreie Stadt",4539.0,2.0,225.0,42.0,8.0,305.0,952.0,158.0,449.0,184.0,110.0,225.0,668.0,249.0,133.0,412.0,120.0,297.0,2018
"Landau in der Pfalz, kreisfreie Stadt",2409.0,2.0,137.0,24.0,12.0,190.0,526.0,47.0,182.0,99.0,66.0,124.0,370.0,125.0,80.0,220.0,58.0,147.0,2018
"Ludwigshafen am Rhein, kreisfreie Stadt",5530.0,1.0,254.0,54.0,15.0,681.0,971.0,259.0,564.0,191.0,108.0,199.0,651.0,423.0,150.0,496.0,125.0,388.0,2018
"Mainz, kreisfreie Stadt",10402.0,4.0,364.0,64.0,23.0,664.0,1562.0,355.0,722.0,636.0,256.0,1006.0,1800.0,652.0,279.0,799.0,433.0,783.0,2018
"Neustadt an der Weinstraße, kreisfreie Stadt",2725.0,0.0,140.0,27.0,7.0,286.0,527.0,66.0,215.0,92.0,67.0,116.0,447.0,144.0,82.0,226.0,86.0,197.0,2018
"Pirmasens, kreisfreie Stadt",2028.0,0.0,164.0,14.0,9.0,186.0,529.0,59.0,160.0,47.0,52.0,92.0,236.0,101.0,33.0,181.0,46.0,119.0,2018
"Speyer, kreisfreie Stadt",2596.0,4.0,149.0,18.0,10.0,221.0,568.0,76.0,234.0,73.0,68.0,108.0,353.0,155.0,77.0,206.0,84.0,192.0,2018
"Worms, kreisfreie Stadt",3507.0,2.0,210.0,31.0,12.0,427.0,711.0,135.0,284.0,114.0,77.0,151.0,433.0,217.0,83.0,250.0,143.0,227.0,2018
"Zweibrücken, kreisfreie Stadt",1458.0,2.0,100.0,15.0,9.0,118.0,366.0,44.0,114.0,47.0,40.0,61.0,165.0,78.0,51.0,129.0,42.0,77.0,2018
"Alzey-Worms, Landkreis",5254.0,5.0,383.0,247.0,18.0,660.0,1021.0,172.0,371.0,185.0,118.0,169.0,631.0,406.0,159.0,280.0,130.0,299.0,2018
"Bad Dürkheim, Landkreis",5955.0,1.0,396.0,87.0,17.0,693.0,1179.0,172.0,620.0,168.0,132.0,242.0,831.0,381.0,182.0,373.0,152.0,329.0,2018
Donnersbergkreis,2787.0,4.0,260.0,103.0,16.0,325.0,547.0,90.0,228.0,59.0,58.0,84.0,319.0,183.0,111.0,188.0,62.0,150.0,2018
"Germersheim, Landkreis",4936.0,13.0,349.0,84.0,33.0,615.0,1034.0,182.0,416.0,157.0,113.0,144.0,534.0,286.0,189.0,302.0,156.0,329.0,2018
"Kaiserslautern, Landkreis",4022.0,2.0,275.0,95.0,32.0,592.0,834.0,113.0,378.0,82.0,101.0,151.0,411.0,218.0,128.0,277.0,82.0,251.0,2018
"Kusel, Landkreis",2210.0,2.0,173.0,56.0,17.0,322.0,488.0,65.0,185.0,39.0,55.0,48.0,205.0,104.0,96.0,176.0,47.0,132.0,2018
"Südliche Weinstraße, Landkreis",4779.0,2.0,407.0,134.0,27.0,575.0,962.0,105.0,556.0,127.0,127.0,156.0,507.0,252.0,153.0,289.0,134.0,266.0,2018
Rhein-Pfalz-Kreis,5584.0,6.0,374.0,85.0,38.0,778.0,1143.0,240.0,414.0,177.0,127.0,181.0,660.0,368.0,173.0,335.0,133.0,352.0,2018
"Mainz-Bingen, Landkreis",9095.0,4.0,529.0,129.0,27.0,1114.0,1548.0,278.0,716.0,427.0,218.0,360.0,1422.0,597.0,300.0,554.0,294.0,578.0,2018
"Südwestpfalz, Landkreis",3517.0,1.0,336.0,63.0,12.0,522.0,806.0,94.0,344.0,91.0,74.0,103.0,328.0,181.0,108.0,202.0,62.0,190.0,2018
"Koblenz, kreisfreie Stadt",5708.0,1.0,210.0,25.0,19.0,374.0,1117.0,253.0,490.0,263.0,145.0,346.0,857.0,346.0,168.0,533.0,187.0,374.0,2019
"Ahrweiler, Landkreis",6317.0,7.0,469.0,72.0,26.0,821.0,1216.0,186.0,645.0,200.0,142.0,247.0,699.0,436.0,172.0,405.0,206.0,368.0,2019
"Altenkirchen (Westerwald), Landkreis",5220.0,1.0,581.0,87.0,28.0,680.0,1033.0,139.0,316.0,138.0,148.0,237.0,574.0,306.0,163.0,347.0,104.0,338.0,2019
"Bad Kreuznach, Landkreis",6902.0,6.0,496.0,96.0,28.0,766.0,1392.0,201.0,568.0,205.0,174.0,314.0,879.0,436.0,217.0,482.0,195.0,447.0,2019
"Birkenfeld, Landkreis",3697.0,2.0,511.0,45.0,24.0,363.0,972.0,76.0,283.0,59.0,94.0,131.0,297.0,173.0,95.0,254.0,88.0,230.0,2019
"Cochem-Zell, Landkreis",2996.0,1.0,214.0,91.0,4.0,342.0,621.0,84.0,577.0,66.0,59.0,94.0,201.0,153.0,74.0,202.0,46.0,167.0,2019
"Mayen-Koblenz, Landkreis",9141.0,24.0,776.0,147.0,30.0,1050.0,2003.0,342.0,693.0,245.0,253.0,384.0,1020.0,548.0,257.0,621.0,230.0,518.0,2019
"Neuwied, Landkreis",8349.0,8.0,714.0,100.0,34.0,1087.0,1728.0,268.0,516.0,259.0,185.0,325.0,1028.0,550.0,222.0,590.0,235.0,500.0,2019
Rhein-Hunsrück-Kreis,4799.0,2.0,384.0,129.0,19.0,675.0,937.0,169.0,430.0,126.0,114.0,214.0,538.0,281.0,145.0,286.0,112.0,238.0,2019
Rhein-Lahn-Kreis,5157.0,4.0,419.0,94.0,25.0,581.0,912.0,144.0,480.0,134.0,125.0,177.0,642.0,372.0,166.0,380.0,153.0,349.0,2019
Westerwaldkreis,9385.0,24.0,1012.0,142.0,35.0,1209.0,1904.0,268.0,553.0,301.0,238.0,406.0,1172.0,582.0,286.0,560.0,190.0,503.0,2019
"Trier, kreisfreie Stadt",4959.0,2.0,238.0,51.0,17.0,284.0,1103.0,121.0,463.0,154.0,150.0,300.0,718.0,262.0,149.0,443.0,126.0,378.0,2019
"Bernkastel-Wittlich, Landkreis",5092.0,8.0,433.0,146.0,18.0,581.0,1022.0,160.0,689.0,84.0,140.0,177.0,477.0,297.0,126.0,352.0,131.0,251.0,2019
Eifelkreis Bitburg-Prüm,4246.0,8.0,368.0,320.0,26.0,487.0,823.0,119.0,441.0,72.0,144.0,179.0,359.0,180.0,110.0,228.0,122.0,260.0,2019
"Vulkaneifel, Landkreis",2723.0,10.0,259.0,93.0,11.0,317.0,579.0,85.0,285.0,47.0,70.0,86.0,255.0,144.0,78.0,167.0,87.0,150.0,2019
"Trier-Saarburg, Landkreis",5156.0,8.0,430.0,93.0,24.0,686.0,974.0,156.0,537.0,95.0,154.0,240.0,535.0,292.0,151.0,324.0,135.0,322.0,2019
"Frankenthal (Pfalz), kreisfreie Stadt",1889.0,0.0,115.0,12.0,3.0,207.0,397.0,75.0,168.0,41.0,36.0,89.0,225.0,112.0,44.0,172.0,53.0,140.0,2019
"Kaiserslautern, kreisfreie Stadt",4656.0,2.0,211.0,47.0,8.0,306.0,956.0,153.0,460.0,187.0,112.0,283.0,673.0,253.0,133.0,425.0,127.0,320.0,2019
"Landau in der Pfalz, kreisfreie Stadt",2516.0,2.0,138.0,29.0,14.0,203.0,520.0,54.0,186.0,95.0,67.0,128.0,389.0,147.0,82.0,229.0,64.0,169.0,2019
"Ludwigshafen am Rhein, kreisfreie Stadt",5744.0,3.0,254.0,52.0,14.0,701.0,981.0,249.0,597.0,194.0,113.0,239.0,661.0,440.0,164.0,520.0,149.0,413.0,2019
"Mainz, kreisfreie Stadt",10526.0,3.0,358.0,75.0,22.0,663.0,1570.0,353.0,744.0,622.0,282.0,937.0,1802.0,674.0,291.0,848.0,454.0,828.0,2019
"Neustadt an der Weinstraße, kreisfreie Stadt",2818.0,0.0,153.0,29.0,8.0,288.0,530.0,72.0,226.0,96.0,70.0,133.0,460.0,151.0,76.0,230.0,89.0,207.0,2019
"Pirmasens, kreisfreie Stadt",2083.0,0.0,148.0,17.0,9.0,194.0,531.0,59.0,163.0,47.0,62.0,115.0,228.0,105.0,35.0,188.0,50.0,132.0,2019
"Speyer, kreisfreie Stadt",2656.0,4.0,149.0,17.0,9.0,216.0,561.0,75.0,243.0,70.0,77.0,140.0,352.0,160.0,79.0,216.0,84.0,204.0,2019
"Worms, kreisfreie Stadt",3578.0,3.0,206.0,34.0,13.0,435.0,696.0,136.0,297.0,117.0,83.0,152.0,432.0,224.0,88.0,264.0,147.0,251.0,2019
"Zweibrücken, kreisfreie Stadt",1506.0,2.0,98.0,16.0,9.0,124.0,374.0,45.0,118.0,55.0,40.0,67.0,162.0,81.0,49.0,135.0,44.0,87.0,2019
"Alzey-Worms, Landkreis",5452.0,5.0,380.0,242.0,20.0,678.0,1017.0,183.0,403.0,191.0,117.0,181.0,648.0,435.0,166.0,299.0,141.0,346.0,2019
"Bad Dürkheim, Landkreis",6146.0,1.0,397.0,91.0,16.0,701.0,1187.0,173.0,646.0,173.0,148.0,263.0,851.0,390.0,180.0,412.0,167.0,350.0,2019
Donnersbergkreis,2936.0,2.0,253.0,114.0,15.0,356.0,534.0,94.0,227.0,66.0,68.0,113.0,313.0,205.0,105.0,224.0,75.0,172.0,2019
"Germersheim, Landkreis",5060.0,14.0,356.0,86.0,33.0,623.0,1021.0,188.0,441.0,157.0,127.0,150.0,538.0,308.0,197.0,322.0,158.0,341.0,2019
"Kaiserslautern, Landkreis",4193.0,1.0,274.0,109.0,35.0,609.0,842.0,129.0,390.0,92.0,113.0,179.0,403.0,224.0,134.0,300.0,84.0,275.0,2019
"Kusel, Landkreis",2307.0,2.0,178.0,60.0,17.0,310.0,495.0,65.0,179.0,41.0,58.0,67.0,216.0,118.0,93.0,196.0,62.0,150.0,2019
"Südliche Weinstraße, Landkreis",4888.0,1.0,409.0,128.0,27.0,574.0,967.0,105.0,565.0,130.0,139.0,156.0,525.0,272.0,166.0,306.0,132.0,286.0,2019
