City,Total,Mining and extraction of stones and earth ,Manufacturing,Power Supply,Water Supply,Construction Industry,"Trade, maintance and repair motor vehicle",Traffic and warehousing,Hospitality,Information and communication,Provision of Finace and insurance service,Real estate and housing,"Freelance, science technology services",Other Economic services,Education and Teaching,Helth and social care,"Art, Entertainment and Recreation",Provision and other services,Year
"Cochem-Zell, Landkreis",3185.0,1.0,251.0,30.0,6.0,374.0,643.0,97.0,607.0,62.0,58.0,250.0,209.0,102.0,74.0,189.0,43.0,189.0,2010
"Mayen-Koblenz, Landkreis",9674.0,30.0,887.0,63.0,32.0,1079.0,2243.0,385.0,761.0,267.0,229.0,812.0,1008.0,427.0,250.0,522.0,204.0,475.0,2010
"Neuwied, Landkreis",9043.0,8.0,855.0,27.0,30.0,1137.0,1966.0,274.0,615.0,311.0,190.0,810.0,1047.0,409.0,200.0,485.0,199.0,480.0,2010
Rhein-Hunsrück-Kreis,5047.0,3.0,439.0,61.0,20.0,636.0,1048.0,196.0,470.0,142.0,114.0,455.0,507.0,239.0,129.0,243.0,100.0,245.0,2010
Rhein-Lahn-Kreis,5624.0,4.0,489.0,53.0,24.0,598.0,1126.0,173.0,566.0,171.0,121.0,431.0,616.0,288.0,180.0,328.0,110.0,346.0,2010
Westerwaldkreis,10276.0,33.0,1143.0,90.0,40.0,1222.0,2184.0,340.0,622.0,279.0,193.0,1032.0,1136.0,508.0,301.0,492.0,175.0,486.0,2010
"Trier, kreisfreie Stadt",5364.0,0.0,312.0,23.0,18.0,313.0,1288.0,144.0,489.0,153.0,119.0,535.0,728.0,202.0,131.0,434.0,121.0,354.0,2010
"Bernkastel-Wittlich, Landkreis",5414.0,9.0,550.0,59.0,20.0,565.0,1188.0,159.0,781.0,82.0,121.0,451.0,420.0,207.0,115.0,304.0,90.0,293.0,2010
Eifelkreis Bitburg-Prüm,4419.0,8.0,427.0,187.0,22.0,462.0,927.0,150.0,494.0,73.0,122.0,416.0,337.0,139.0,110.0,204.0,100.0,241.0,2010
"Vulkaneifel, Landkreis",2978.0,15.0,276.0,38.0,15.0,323.0,631.0,117.0,311.0,67.0,54.0,280.0,285.0,108.0,77.0,154.0,69.0,158.0,2010
