Area,School_Type,Total_School,Total_People,Female,Foreigners,Year
"Dahme-Spreewald, Landkreis",Fachgymnasien,1.0,66.0,28.0,1.0,2012
"Havelland, Landkreis",Fachgymnasien,1.0,139.0,73.0,2.0,2012
"Oberhavel, Landkreis",Fachgymnasien,2.0,481.0,241.0,1.0,2012
"Oberspreewald-Lausitz, Landkreis",Fachgymnasien,1.0,119.0,52.0,1.0,2012
"Oder-Spree, Landkreis",Fachgymnasien,1.0,272.0,145.0,5.0,2012
"Ostprignitz-Ruppin, Landkreis",Fachgymnasien,1.0,130.0,71.0,2.0,2012
"Rostock, Hanse- und Universitätsstadt, kreisfreie Stadt",Fachgymnasien,3.0,475.0,185.0,15.0,2012
"Schwerin, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,2.0,360.0,172.0,23.0,2012
"Mecklenburgische Seenplatte, Landkreis",Fachgymnasien,4.0,281.0,97.0,4.0,2012
Landkreis Rostock,Fachgymnasien,1.0,66.0,46.0,4.0,2012
"Vorpommern-Rügen, Landkreis",Fachgymnasien,2.0,319.0,140.0,4.0,2012
Landkreis Nordwestmecklenburg,Fachgymnasien,1.0,95.0,49.0,5.0,2012
"Vorpommern-Greifswald, Landkreis",Fachgymnasien,3.0,258.0,132.0,5.0,2012
Landkreis Ludwigslust-Parchim,Fachgymnasien,2.0,140.0,80.0,4.0,2012
"Chemnitz, Stadt",Fachgymnasien,4.0,453.0,242.0,28.0,2012
Erzgebirgskreis,Fachgymnasien,3.0,690.0,345.0,1.0,2012
"Mittelsachsen, Landkreis",Fachgymnasien,2.0,271.0,131.0,5.0,2012
Vogtlandkreis,Fachgymnasien,4.0,357.0,179.0,3.0,2012
"Zwickau, Landkreis",Fachgymnasien,3.0,448.0,241.0,13.0,2012
"Dresden, Stadt",Fachgymnasien,9.0,1050.0,612.0,59.0,2012
"Bautzen, Landkreis",Fachgymnasien,4.0,419.0,223.0,7.0,2012
"Görlitz, Landkreis",Fachgymnasien,2.0,419.0,241.0,5.0,2012
"Meißen, Landkreis",Fachgymnasien,4.0,516.0,273.0,10.0,2012
"Sächsische Schweiz-Osterzgebirge, Landkreis",Fachgymnasien,2.0,348.0,139.0,10.0,2012
"Leipzig, Stadt",Fachgymnasien,3.0,521.0,269.0,36.0,2012
"Leipzig, Landkreis",Fachgymnasien,3.0,331.0,149.0,3.0,2012
"Nordsachsen, Landkreis",Fachgymnasien,3.0,348.0,185.0,6.0,2012
"Dessau-Roßlau, kreisfreie Stadt",Fachgymnasien,1.0,218.0,141.0,5.0,2012
"Halle (Saale), kreisfreie Stadt",Fachgymnasien,1.0,209.0,115.0,15.0,2012
"Magdeburg, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,1.0,214.0,102.0,18.0,2012
"Harz, Landkreis",Fachgymnasien,1.0,158.0,83.0,1.0,2012
"Jerichower Land, Landkreis",Fachgymnasien,1.0,84.0,41.0,1.0,2012
Salzlandkreis,Fachgymnasien,1.0,91.0,66.0,3.0,2012
"Stendal, Landkreis",Fachgymnasien,1.0,224.0,140.0,3.0,2012
"Erfurt, kreisfreie Stadt",Fachgymnasien,3.0,483.0,277.0,12.0,2012
"Gera, kreisfreie Stadt",Fachgymnasien,1.0,77.0,45.0,2.0,2012
"Sömmerda, Kreis",Fachgymnasien,1.0,74.0,34.0,2.0,2012
"Hildburghausen, Kreis",Fachgymnasien,1.0,121.0,52.0,2.0,2012
"Sonneberg, Kreis",Fachgymnasien,1.0,255.0,130.0,15.0,2012
"Flensburg, kreisfreie Stadt",Fachgymnasien,3.0,752.0,413.0,23.0,2013
"Kiel, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,5.0,1373.0,722.0,63.0,2013
"Lübeck, Hansestadt, kreisfreie Stadt",Fachgymnasien,4.0,1106.0,564.0,63.0,2013
"Neumünster, kreisfreie Stadt",Fachgymnasien,3.0,875.0,435.0,17.0,2013
"Dithmarschen, Landkreis",Fachgymnasien,1.0,359.0,188.0,6.0,2013
"Herzogtum Lauenburg, Landkreis",Fachgymnasien,1.0,607.0,326.0,24.0,2013
"Nordfriesland, Landkreis",Fachgymnasien,2.0,686.0,387.0,9.0,2013
"Ostholstein, Landkreis",Fachgymnasien,2.0,746.0,420.0,9.0,2013
"Pinneberg, Landkreis",Fachgymnasien,1.0,334.0,158.0,33.0,2013
"Plön, Landkreis",Fachgymnasien,1.0,299.0,151.0,6.0,2013
"Rendsburg-Eckernförde, Landkreis",Fachgymnasien,2.0,596.0,289.0,14.0,2013
"Schleswig-Flensburg, Landkreis",Fachgymnasien,1.0,666.0,363.0,14.0,2013
"Segeberg, Landkreis",Fachgymnasien,2.0,696.0,399.0,24.0,2013
"Steinburg, Landkreis",Fachgymnasien,1.0,303.0,184.0,7.0,2013
"Stormarn, Landkreis",Fachgymnasien,2.0,484.0,274.0,10.0,2013
Hamburg,Fachgymnasien,11.0,2029.0,860.0,249.0,2013
"Braunschweig, kreisfreie Stadt",Fachgymnasien,3.0,675.0,363.0,26.0,2013
"Salzgitter, kreisfreie Stadt",Fachgymnasien,2.0,374.0,205.0,47.0,2013
"Wolfsburg, kreisfreie Stadt",Fachgymnasien,2.0,385.0,167.0,19.0,2013
"Gifhorn, Landkreis",Fachgymnasien,1.0,348.0,188.0,11.0,2013
"Göttingen, Landkreis",Fachgymnasien,3.0,713.0,396.0,41.0,2013
"Goslar, Landkreis",Fachgymnasien,2.0,548.0,296.0,17.0,2013
"Northeim, Landkreis",Fachgymnasien,2.0,449.0,221.0,15.0,2013
"Osterode am Harz, Landkreis",Fachgymnasien,1.0,367.0,199.0,16.0,2013
"Peine, Landkreis",Fachgymnasien,1.0,155.0,64.0,13.0,2013
"Wolfenbüttel, Landkreis",Fachgymnasien,1.0,95.0,36.0,4.0,2013
"Region Hannover, Landkreis",Fachgymnasien,7.0,1734.0,801.0,89.0,2013
"Hannover, Landeshauptstadt",Fachgymnasien,4.0,800.0,416.0,57.0,2013
"Diepholz, Landkreis",Fachgymnasien,2.0,602.0,337.0,19.0,2013
"Hameln-Pyrmont, Landkreis",Fachgymnasien,3.0,736.0,367.0,27.0,2013
"Hildesheim, Landkreis",Fachgymnasien,5.0,1163.0,589.0,32.0,2013
"Holzminden, Landkreis",Fachgymnasien,1.0,199.0,93.0,3.0,2013
"Nienburg (Weser), Landkreis",Fachgymnasien,1.0,310.0,168.0,8.0,2013
"Schaumburg, Landkreis",Fachgymnasien,2.0,319.0,139.0,17.0,2013
"Celle, Landkreis",Fachgymnasien,3.0,625.0,313.0,7.0,2013
"Cuxhaven, Landkreis",Fachgymnasien,2.0,597.0,317.0,15.0,2013
"Harburg, Landkreis",Fachgymnasien,2.0,823.0,443.0,15.0,2013
"Lüchow-Dannenberg, Landkreis",Fachgymnasien,1.0,205.0,86.0,4.0,2013
"Lüneburg, Landkreis",Fachgymnasien,3.0,688.0,365.0,20.0,2013
"Osterholz, Landkreis",Fachgymnasien,1.0,309.0,136.0,12.0,2013
"Rotenburg (Wümme), Landkreis",Fachgymnasien,3.0,1061.0,567.0,22.0,2013
"Heidekreis, Landkreis",Fachgymnasien,2.0,506.0,273.0,7.0,2013
"Stade, Landkreis",Fachgymnasien,3.0,709.0,382.0,10.0,2013
"Uelzen, Landkreis",Fachgymnasien,1.0,167.0,92.0,1.0,2013
"Verden, Landkreis",Fachgymnasien,1.0,353.0,185.0,13.0,2013
"Delmenhorst, kreisfreie Stadt",Fachgymnasien,2.0,434.0,209.0,20.0,2013
"Emden, kreisfreie Stadt",Fachgymnasien,2.0,391.0,207.0,14.0,2013
"Oldenburg (Oldenburg), kreisfreie Stadt",Fachgymnasien,3.0,735.0,332.0,22.0,2013
"Osnabrück, kreisfreie Stadt",Fachgymnasien,3.0,652.0,295.0,13.0,2013
