Area,School_Type,Total_School,Total_People,Female,Foreigners,Year
"Dortmund, kreisfreie Stadt",Fachschulen,10.0,1660.0,930.0,110.0,2020
"Hagen, kreisfreie Stadt",Fachschulen,4.0,475.0,270.0,40.0,2020
"Hamm, kreisfreie Stadt",Fachschulen,5.0,1145.0,790.0,40.0,2020
"Herne, kreisfreie Stadt",Fachschulen,2.0,200.0,140.0,10.0,2020
Ennepe-Ruhr-Kreis,Fachschulen,4.0,750.0,460.0,40.0,2020
Hochsauerlandkreis,Fachschulen,7.0,835.0,475.0,30.0,2020
Märkischer Kreis,Fachschulen,6.0,1230.0,675.0,110.0,2020
"Olpe, Kreis",Fachschulen,1.0,170.0,150.0,5.0,2020
"Siegen-Wittgenstein, Kreis",Fachschulen,4.0,1085.0,370.0,25.0,2020
"Soest, Kreis",Fachschulen,4.0,685.0,455.0,25.0,2020
"Unna, Kreis",Fachschulen,5.0,715.0,440.0,40.0,2020
"Darmstadt, kreisfreie Stadt",Fachschulen,9.0,1306.0,923.0,145.0,2020
"Frankfurt am Main, kreisfreie Stadt",Fachschulen,13.0,1630.0,1047.0,291.0,2020
"Offenbach am Main, kreisfreie Stadt",Fachschulen,2.0,592.0,383.0,139.0,2020
"Wiesbaden, Landeshauptstadt, kreisfreie Stadt",Fachschulen,3.0,529.0,277.0,78.0,2020
"Bergstraße, Landkreis",Fachschulen,2.0,124.0,91.0,12.0,2020
"Darmstadt-Dieburg, Landkreis",Fachschulen,2.0,177.0,142.0,21.0,2020
"Groß-Gerau, Landkreis",Fachschulen,2.0,279.0,134.0,35.0,2020
Hochtaunuskreis,Fachschulen,2.0,369.0,308.0,71.0,2020
Main-Kinzig-Kreis,Fachschulen,9.0,1240.0,643.0,139.0,2020
Main-Taunus-Kreis,Fachschulen,1.0,116.0,93.0,6.0,2020
Odenwaldkreis,Fachschulen,2.0,99.0,72.0,11.0,2020
Rheingau-Taunus-Kreis,Fachschulen,3.0,181.0,127.0,21.0,2020
Wetteraukreis,Fachschulen,2.0,576.0,190.0,23.0,2020
"Gießen, Landkreis",Fachschulen,4.0,564.0,384.0,27.0,2020
Lahn-Dill-Kreis,Fachschulen,5.0,704.0,349.0,49.0,2020
"Limburg-Weilburg, Landkreis",Fachschulen,7.0,997.0,548.0,42.0,2020
"Marburg-Biedenkopf, Landkreis",Fachschulen,6.0,732.0,493.0,44.0,2020
Vogelsbergkreis,Fachschulen,7.0,522.0,292.0,21.0,2020
"Kassel, kreisfreie Stadt",Fachschulen,9.0,1427.0,846.0,115.0,2020
"Fulda, Landkreis",Fachschulen,7.0,802.0,443.0,22.0,2020
"Hersfeld-Rotenburg, Landkreis",Fachschulen,4.0,218.0,114.0,5.0,2020
Schwalm-Eder-Kreis,Fachschulen,5.0,456.0,335.0,38.0,2020
"Waldeck-Frankenberg, Landkreis",Fachschulen,4.0,385.0,182.0,19.0,2020
Werra-Meißner-Kreis,Fachschulen,1.0,164.0,135.0,7.0,2020
"Koblenz, kreisfreie Stadt",Fachschulen,3.0,930.0,659.0,85.0,2020
"Ahrweiler, Landkreis",Fachschulen,1.0,335.0,273.0,32.0,2020
"Altenkirchen (Westerwald), Landkreis",Fachschulen,2.0,511.0,330.0,14.0,2020
"Bad Kreuznach, Landkreis",Fachschulen,4.0,649.0,385.0,47.0,2020
"Birkenfeld, Landkreis",Fachschulen,3.0,143.0,68.0,5.0,2020
"Cochem-Zell, Landkreis",Fachschulen,1.0,39.0,27.0,8.0,2020
"Mayen-Koblenz, Landkreis",Fachschulen,1.0,258.0,193.0,10.0,2020
"Neuwied, Landkreis",Fachschulen,3.0,679.0,483.0,55.0,2020
Rhein-Hunsrück-Kreis,Fachschulen,2.0,528.0,426.0,38.0,2020
Rhein-Lahn-Kreis,Fachschulen,1.0,28.0,3.0,2.0,2020
Westerwaldkreis,Fachschulen,2.0,456.0,362.0,26.0,2020
"Trier, kreisfreie Stadt",Fachschulen,7.0,1533.0,856.0,99.0,2020
"Bernkastel-Wittlich, Landkreis",Fachschulen,1.0,47.0,38.0,4.0,2020
Eifelkreis Bitburg-Prüm,Fachschulen,4.0,361.0,280.0,24.0,2020
"Vulkaneifel, Landkreis",Fachschulen,1.0,86.0,67.0,4.0,2020
"Trier-Saarburg, Landkreis",Fachschulen,1.0,104.0,79.0,32.0,2020
"Frankenthal (Pfalz), kreisfreie Stadt",Fachschulen,1.0,87.0,4.0,10.0,2020
"Kaiserslautern, kreisfreie Stadt",Fachschulen,3.0,639.0,170.0,25.0,2020
"Landau in der Pfalz, kreisfreie Stadt",Fachschulen,2.0,223.0,132.0,5.0,2020
"Ludwigshafen am Rhein, kreisfreie Stadt",Fachschulen,6.0,1159.0,641.0,114.0,2020
"Mainz, kreisfreie Stadt",Fachschulen,4.0,1046.0,733.0,163.0,2020
"Neustadt an der Weinstraße, kreisfreie Stadt",Fachschulen,2.0,178.0,7.0,3.0,2020
"Pirmasens, kreisfreie Stadt",Fachschulen,1.0,32.0,11.0,4.0,2020
"Speyer, kreisfreie Stadt",Fachschulen,2.0,305.0,225.0,11.0,2020
"Worms, kreisfreie Stadt",Fachschulen,1.0,335.0,238.0,42.0,2020
"Zweibrücken, kreisfreie Stadt",Fachschulen,1.0,101.0,82.0,21.0,2020
"Alzey-Worms, Landkreis",Fachschulen,1.0,258.0,207.0,23.0,2020
Donnersbergkreis,Fachschulen,1.0,313.0,241.0,27.0,2020
"Germersheim, Landkreis",Fachschulen,1.0,268.0,75.0,20.0,2020
"Kaiserslautern, Landkreis",Fachschulen,1.0,461.0,386.0,1.0,2020
"Kusel, Landkreis",Fachschulen,1.0,26.0,22.0,3.0,2020
"Südliche Weinstraße, Landkreis",Fachschulen,1.0,641.0,492.0,36.0,2020
"Mainz-Bingen, Landkreis",Fachschulen,2.0,83.0,21.0,7.0,2020
"Südwestpfalz, Landkreis",Fachschulen,1.0,139.0,115.0,5.0,2020
"Stuttgart, Landeshauptstadt, Stadtkreis",Fachschulen,24.0,2048.0,520.0,169.0,2020
"Böblingen, Landkreis",Fachschulen,6.0,384.0,71.0,22.0,2020
"Esslingen, Landkreis",Fachschulen,8.0,743.0,194.0,120.0,2020
"Göppingen, Landkreis",Fachschulen,4.0,174.0,84.0,19.0,2020
"Ludwigsburg, Landkreis",Fachschulen,4.0,187.0,65.0,26.0,2020
"Rems-Murr-Kreis, Landkreis",Fachschulen,7.0,735.0,317.0,81.0,2020
"Heilbronn, Universitätsstadt, Stadtkreis",Fachschulen,6.0,345.0,101.0,38.0,2020
"Heilbronn, Landkreis",Fachschulen,5.0,377.0,115.0,10.0,2020
"Hohenlohekreis, Landkreis",Fachschulen,4.0,231.0,44.0,4.0,2020
"Schwäbisch Hall, Landkreis",Fachschulen,8.0,399.0,223.0,52.0,2020
"Main-Tauber-Kreis, Landkreis",Fachschulen,3.0,67.0,11.0,2.0,2020
"Heidenheim, Landkreis",Fachschulen,3.0,99.0,33.0,7.0,2020
"Ostalbkreis, Landkreis",Fachschulen,6.0,646.0,251.0,65.0,2020
"Baden-Baden, Stadtkreis",Fachschulen,1.0,40.0,30.0,8.0,2020
"Karlsruhe, Stadtkreis",Fachschulen,12.0,917.0,188.0,55.0,2020
"Karlsruhe, Landkreis",Fachschulen,6.0,504.0,278.0,35.0,2020
"Rastatt, Landkreis",Fachschulen,5.0,260.0,60.0,11.0,2020
"Heidelberg, Stadtkreis",Fachschulen,9.0,1272.0,605.0,87.0,2020
"Mannheim, Stadtkreis",Fachschulen,9.0,702.0,184.0,76.0,2020
"Neckar-Odenwald-Kreis, Landkreis",Fachschulen,4.0,179.0,40.0,4.0,2020
"Rhein-Neckar-Kreis, Landkreis",Fachschulen,8.0,522.0,197.0,41.0,2020
"Pforzheim, Stadtkreis",Fachschulen,4.0,214.0,69.0,19.0,2020
"Calw, Landkreis",Fachschulen,3.0,332.0,214.0,13.0,2020
"Freudenstadt, Landkreis",Fachschulen,1.0,139.0,6.0,3.0,2020
"Freiburg im Breisgau, Stadtkreis",Fachschulen,12.0,655.0,244.0,37.0,2020
"Ortenaukreis, Landkreis",Fachschulen,8.0,768.0,341.0,91.0,2020
"Rottweil, Landkreis",Fachschulen,3.0,295.0,137.0,23.0,2020
"Schwarzwald-Baar-Kreis, Landkreis",Fachschulen,5.0,353.0,69.0,19.0,2020
"Tuttlingen, Landkreis",Fachschulen,2.0,143.0,16.0,4.0,2020
"Konstanz, Landkreis",Fachschulen,7.0,299.0,107.0,22.0,2020
"Lörrach, Landkreis",Fachschulen,2.0,143.0,70.0,12.0,2020
"Waldshut, Landkreis",Fachschulen,2.0,45.0,1.0,3.0,2020
"Reutlingen, Landkreis",Fachschulen,6.0,623.0,219.0,58.0,2020
"Tübingen, Landkreis",Fachschulen,5.0,263.0,144.0,20.0,2020
"Zollernalbkreis, Landkreis",Fachschulen,4.0,295.0,94.0,17.0,2020
"Ulm, Stadtkreis",Fachschulen,3.0,415.0,84.0,22.0,2020
"Alb-Donau-Kreis, Landkreis",Fachschulen,2.0,231.0,110.0,18.0,2020
"Biberach, Landkreis",Fachschulen,4.0,249.0,62.0,6.0,2020
"Bodenseekreis, Landkreis",Fachschulen,4.0,615.0,169.0,98.0,2020
"Ravensburg, Landkreis",Fachschulen,8.0,1214.0,679.0,156.0,2020
"Sigmaringen, Landkreis",Fachschulen,3.0,189.0,82.0,7.0,2020
Ingolstadt,Fachschulen,3.0,467.0,68.0,15.0,2020
"München, Landeshauptstadt",Fachschulen,38.0,2284.0,568.0,184.0,2020
Rosenheim,Fachschulen,2.0,260.0,82.0,2.0,2020
"Altötting, Landkreis",Fachschulen,4.0,289.0,71.0,2.0,2020
"Bad Tölz-Wolfratshausen, Landkreis",Fachschulen,2.0,50.0,28.0,13.0,2020
"Dachau, Landkreis",Fachschulen,1.0,210.0,153.0,44.0,2020
"Erding, Landkreis",Fachschulen,1.0,29.0,20.0,1.0,2020
"Freising, Landkreis",Fachschulen,1.0,22.0,17.0,3.0,2020
"Fürstenfeldbruck, Landkreis",Fachschulen,1.0,32.0,22.0,1.0,2020
"München, Landkreis",Fachschulen,1.0,50.0,2.0,6.0,2020
"Neuburg-Schrobenhausen, Landkreis",Fachschulen,3.0,126.0,101.0,11.0,2020
"Rosenheim, Landkreis",Fachschulen,2.0,331.0,213.0,24.0,2020
"Traunstein, Landkreis",Fachschulen,2.0,66.0,23.0,3.0,2020
"Weilheim-Schongau, Landkreis",Fachschulen,3.0,164.0,89.0,5.0,2020
Landshut,Fachschulen,5.0,252.0,57.0,5.0,2020
Passau,Fachschulen,5.0,182.0,56.0,2.0,2020
Straubing,Fachschulen,4.0,300.0,126.0,30.0,2020
"Deggendorf, Landkreis",Fachschulen,2.0,64.0,6.0,5.0,2020
"Kelheim, Landkreis",Fachschulen,2.0,47.0,41.0,1.0,2020
"Landshut, Landkreis",Fachschulen,1.0,65.0,1.0,1.0,2020
"Regen, Landkreis",Fachschulen,2.0,34.0,23.0,1.0,2020
"Rottal-Inn, Landkreis",Fachschulen,4.0,165.0,92.0,6.0,2020
Regensburg,Fachschulen,2.0,26.0,22.0,2.0,2020
Weiden i.d.OPf.,Fachschulen,4.0,128.0,68.0,1.0,2020
"Cham, Landkreis",Fachschulen,3.0,152.0,75.0,2.0,2020
"Neumarkt i.d.OPf., Landkreis",Fachschulen,3.0,201.0,64.0,9.0,2020
"Neustadt a.d.Waldnaab, Landkreis",Fachschulen,1.0,17.0,17.0,2.0,2020
"Regensburg, Landkreis",Fachschulen,3.0,613.0,94.0,9.0,2020
"Tirschenreuth, Landkreis",Fachschulen,3.0,47.0,29.0,1.0,2020
Bamberg,Fachschulen,4.0,90.0,34.0,5.0,2020
Bayreuth,Fachschulen,4.0,108.0,43.0,7.0,2020
Coburg,Fachschulen,4.0,127.0,70.0,7.0,2020
"Hof, Landkreis",Fachschulen,3.0,78.0,36.0,4.0,2020
"Kulmbach, Landkreis",Fachschulen,5.0,233.0,103.0,6.0,2020
"Wunsiedel i.Fichtelgebirge, Landkreis",Fachschulen,4.0,164.0,91.0,5.0,2020
Ansbach,Fachschulen,4.0,176.0,58.0,3.0,2020
Erlangen,Fachschulen,1.0,275.0,21.0,8.0,2020
Fürth,Fachschulen,5.0,111.0,75.0,20.0,2020
Nürnberg,Fachschulen,9.0,897.0,156.0,47.0,2020
"Ansbach, Landkreis",Fachschulen,7.0,377.0,167.0,13.0,2020
"Erlangen-Höchstadt, Landkreis",Fachschulen,6.0,223.0,124.0,16.0,2020
"Roth, Landkreis",Fachschulen,4.0,282.0,144.0,18.0,2020
"Weißenburg-Gunzenhausen, Landkreis",Fachschulen,3.0,72.0,26.0,4.0,2020
Aschaffenburg,Fachschulen,5.0,187.0,65.0,7.0,2020
Schweinfurt,Fachschulen,3.0,124.0,49.0,3.0,2020
Würzburg,Fachschulen,7.0,594.0,221.0,23.0,2020
"Bad Kissingen, Landkreis",Fachschulen,2.0,63.0,47.0,2.0,2020
"Rhön-Grabfeld, Landkreis",Fachschulen,4.0,69.0,17.0,2.0,2020
"Haßberge, Landkreis",Fachschulen,2.0,73.0,21.0,3.0,2020
"Kitzingen, Landkreis",Fachschulen,1.0,18.0,18.0,2.0,2020
"Main-Spessart, Landkreis",Fachschulen,2.0,46.0,2.0,1.0,2020
Augsburg,Fachschulen,2.0,716.0,97.0,17.0,2020
Kempten (Allgäu),Fachschulen,7.0,391.0,82.0,16.0,2020
Memmingen,Fachschulen,4.0,288.0,125.0,13.0,2020
"Günzburg, Landkreis",Fachschulen,3.0,275.0,206.0,17.0,2020
"Unterallgäu, Landkreis",Fachschulen,3.0,207.0,47.0,3.0,2020
"Donau-Ries, Landkreis",Fachschulen,4.0,200.0,46.0,8.0,2020
"Saarbrücken, Regionalverband",Fachschulen,9.0,1251.0,620.0,90.0,2020
"Saarbrücken, Landeshauptstadt",Fachschulen,9.0,1251.0,620.0,90.0,2020
"Merzig-Wadern, Landkreis",Fachschulen,1.0,95.0,68.0,9.0,2020
"Saarlouis, Landkreis",Fachschulen,1.0,424.0,353.0,27.0,2020
"St. Wendel, Landkreis",Fachschulen,1.0,286.0,226.0,7.0,2020
Berlin,Fachschulen,72.0,12248.0,8464.0,1631.0,2020
"Brandenburg an der Havel, kreisfreie Stadt",Fachschulen,2.0,297.0,232.0,1.0,2020
"Cottbus, kreisfreie Stadt",Fachschulen,2.0,601.0,428.0,10.0,2020
"Frankfurt (Oder), kreisfreie Stadt",Fachschulen,1.0,298.0,222.0,16.0,2020
"Potsdam, kreisfreie Stadt",Fachschulen,6.0,957.0,699.0,42.0,2020
"Barnim, Landkreis",Fachschulen,2.0,536.0,395.0,14.0,2020
"Dahme-Spreewald, Landkreis",Fachschulen,1.0,50.0,42.0,1.0,2020
"Havelland, Landkreis",Fachschulen,2.0,270.0,229.0,10.0,2020
"Märkisch-Oderland, Landkreis",Fachschulen,1.0,188.0,143.0,3.0,2020
"Oberhavel, Landkreis",Fachschulen,3.0,367.0,265.0,3.0,2020
"Oberspreewald-Lausitz, Landkreis",Fachschulen,3.0,315.0,222.0,6.0,2020
"Oder-Spree, Landkreis",Fachschulen,3.0,499.0,369.0,15.0,2020
"Ostprignitz-Ruppin, Landkreis",Fachschulen,3.0,474.0,344.0,6.0,2020
"Potsdam-Mittelmark, Landkreis",Fachschulen,3.0,334.0,246.0,3.0,2020
"Prignitz, Landkreis",Fachschulen,2.0,203.0,163.0,2.0,2020
"Teltow-Fläming, Landkreis",Fachschulen,1.0,233.0,198.0,4.0,2020
"Uckermark, Landkreis",Fachschulen,1.0,227.0,180.0,3.0,2020
"Rostock, Hanse- und Universitätsstadt, kreisfreie Stadt",Fachschulen,6.0,514.0,294.0,16.0,2020
"Schwerin, Landeshauptstadt, kreisfreie Stadt",Fachschulen,6.0,707.0,549.0,12.0,2020
"Mecklenburgische Seenplatte, Landkreis",Fachschulen,3.0,199.0,143.0,3.0,2020
Landkreis Rostock,Fachschulen,4.0,326.0,205.0,3.0,2020
"Vorpommern-Rügen, Landkreis",Fachschulen,2.0,226.0,180.0,7.0,2020
"Vorpommern-Greifswald, Landkreis",Fachschulen,2.0,221.0,147.0,7.0,2020
"Chemnitz, Stadt",Fachschulen,10.0,1291.0,820.0,30.0,2020
Erzgebirgskreis,Fachschulen,6.0,375.0,299.0,2.0,2020
"Mittelsachsen, Landkreis",Fachschulen,5.0,340.0,243.0,1.0,2020
Vogtlandkreis,Fachschulen,4.0,334.0,242.0,3.0,2020
"Zwickau, Landkreis",Fachschulen,8.0,770.0,597.0,9.0,2020
"Dresden, Stadt",Fachschulen,16.0,2814.0,1908.0,115.0,2020
"Bautzen, Landkreis",Fachschulen,6.0,593.0,396.0,10.0,2020
"Görlitz, Landkreis",Fachschulen,6.0,477.0,344.0,22.0,2020
"Meißen, Landkreis",Fachschulen,4.0,221.0,175.0,3.0,2020
"Sächsische Schweiz-Osterzgebirge, Landkreis",Fachschulen,3.0,123.0,104.0,2.0,2020
"Leipzig, Stadt",Fachschulen,18.0,2226.0,1537.0,83.0,2020
"Leipzig, Landkreis",Fachschulen,2.0,245.0,191.0,3.0,2020
"Nordsachsen, Landkreis",Fachschulen,3.0,431.0,357.0,5.0,2020
"Dessau-Roßlau, kreisfreie Stadt",Fachschulen,5.0,414.0,357.0,6.0,2020
"Halle (Saale), kreisfreie Stadt",Fachschulen,9.0,957.0,699.0,24.0,2020
"Magdeburg, Landeshauptstadt, kreisfreie Stadt",Fachschulen,12.0,978.0,663.0,18.0,2020
"Harz, Landkreis",Fachschulen,8.0,540.0,426.0,3.0,2020
Salzlandkreis,Fachschulen,5.0,438.0,354.0,12.0,2020
"Stendal, Landkreis",Fachschulen,4.0,213.0,183.0,3.0,2020
"Erfurt, kreisfreie Stadt",Fachschulen,7.0,781.0,518.0,16.0,2020
"Gera, kreisfreie Stadt",Fachschulen,5.0,444.0,332.0,9.0,2020
"Jena, kreisfreie Stadt",Fachschulen,3.0,238.0,159.0,6.0,2020
"Suhl, kreisfreie Stadt",Fachschulen,2.0,231.0,197.0,2.0,2020
"Weimar, kreisfreie Stadt",Fachschulen,1.0,294.0,237.0,9.0,2020
"Eisenach, kreisfreie Stadt",Fachschulen,2.0,239.0,190.0,4.0,2020
"Eichsfeld, Kreis",Fachschulen,1.0,167.0,125.0,4.0,2020
"Nordhausen, Kreis",Fachschulen,1.0,160.0,137.0,1.0,2020
Unstrut-Hainich-Kreis,Fachschulen,2.0,407.0,198.0,3.0,2020
Kyffhäuserkreis,Fachschulen,2.0,239.0,191.0,5.0,2020
"Schmalkalden-Meiningen, Kreis",Fachschulen,1.0,114.0,101.0,2.0,2020
"Gotha, Kreis",Fachschulen,2.0,448.0,117.0,8.0,2020
Ilm-Kreis,Fachschulen,1.0,73.0,65.0,3.0,2020
"Sonneberg, Kreis",Fachschulen,1.0,169.0,16.0,2.0,2020
Saale-Orla-Kreis,Fachschulen,1.0,50.0,37.0,1.0,2020
"Greiz, Kreis",Fachschulen,1.0,168.0,138.0,8.0,2020
"Altenburger Land, Kreis",Fachschulen,3.0,232.0,169.0,6.0,2020
"Flensburg, kreisfreie Stadt",Fachschulen,4.0,420.0,210.0,12.0,2021
"Kiel, Landeshauptstadt, kreisfreie Stadt",Fachschulen,8.0,840.0,387.0,30.0,2021
"Lübeck, Hansestadt, kreisfreie Stadt",Fachschulen,8.0,807.0,474.0,30.0,2021
"Neumünster, kreisfreie Stadt",Fachschulen,6.0,696.0,474.0,15.0,2021
"Dithmarschen, Landkreis",Fachschulen,2.0,234.0,168.0,3.0,2021
"Herzogtum Lauenburg, Landkreis",Fachschulen,2.0,372.0,300.0,24.0,2021
"Nordfriesland, Landkreis",Fachschulen,4.0,315.0,210.0,9.0,2021
"Ostholstein, Landkreis",Fachschulen,1.0,237.0,177.0,3.0,2021
"Pinneberg, Landkreis",Fachschulen,2.0,270.0,216.0,9.0,2021
"Plön, Landkreis",Fachschulen,1.0,210.0,165.0,12.0,2021
"Rendsburg-Eckernförde, Landkreis",Fachschulen,5.0,387.0,210.0,12.0,2021
"Schleswig-Flensburg, Landkreis",Fachschulen,1.0,462.0,348.0,21.0,2021
"Segeberg, Landkreis",Fachschulen,2.0,267.0,165.0,9.0,2021
"Steinburg, Landkreis",Fachschulen,2.0,207.0,150.0,9.0,2021
"Stormarn, Landkreis",Fachschulen,1.0,264.0,219.0,6.0,2021
Hamburg,Fachschulen,20.0,4561.0,2771.0,622.0,2021
"Braunschweig, kreisfreie Stadt",Fachschulen,7.0,935.0,228.0,36.0,2021
"Salzgitter, kreisfreie Stadt",Fachschulen,1.0,113.0,77.0,14.0,2021
"Wolfsburg, kreisfreie Stadt",Fachschulen,4.0,546.0,281.0,21.0,2021
"Gifhorn, Landkreis",Fachschulen,1.0,107.0,93.0,5.0,2021
"Goslar, Landkreis",Fachschulen,3.0,192.0,85.0,2.0,2021
"Northeim, Landkreis",Fachschulen,4.0,292.0,144.0,1.0,2021
"Peine, Landkreis",Fachschulen,2.0,98.0,80.0,4.0,2021
"Wolfenbüttel, Landkreis",Fachschulen,2.0,178.0,139.0,3.0,2021
"Göttingen, Landkreis",Fachschulen,4.0,479.0,360.0,25.0,2021
"Region Hannover, Landkreis",Fachschulen,16.0,1774.0,966.0,46.0,2021
"Hannover, Landeshauptstadt",Fachschulen,12.0,1568.0,817.0,42.0,2021
"Diepholz, Landkreis",Fachschulen,2.0,254.0,122.0,8.0,2021
"Hameln-Pyrmont, Landkreis",Fachschulen,1.0,271.0,206.0,10.0,2021
"Hildesheim, Landkreis",Fachschulen,8.0,677.0,306.0,11.0,2021
"Holzminden, Landkreis",Fachschulen,1.0,15.0,14.0,1.0,2021
"Nienburg (Weser), Landkreis",Fachschulen,2.0,202.0,164.0,5.0,2021
"Schaumburg, Landkreis",Fachschulen,5.0,376.0,196.0,6.0,2021
"Celle, Landkreis",Fachschulen,3.0,338.0,218.0,6.0,2021
"Cuxhaven, Landkreis",Fachschulen,4.0,274.0,145.0,7.0,2021
"Harburg, Landkreis",Fachschulen,2.0,141.0,114.0,2.0,2021
"Lüchow-Dannenberg, Landkreis",Fachschulen,1.0,93.0,72.0,2.0,2021
"Lüneburg, Landkreis",Fachschulen,4.0,361.0,247.0,5.0,2021
"Osterholz, Landkreis",Fachschulen,2.0,174.0,126.0,3.0,2021
"Rotenburg (Wümme), Landkreis",Fachschulen,4.0,484.0,319.0,5.0,2021
"Heidekreis, Landkreis",Fachschulen,1.0,149.0,128.0,3.0,2021
"Stade, Landkreis",Fachschulen,3.0,171.0,114.0,4.0,2021
"Uelzen, Landkreis",Fachschulen,1.0,159.0,116.0,4.0,2021
"Verden, Landkreis",Fachschulen,1.0,71.0,62.0,1.0,2021
"Delmenhorst, kreisfreie Stadt",Fachschulen,2.0,163.0,101.0,3.0,2021
"Emden, kreisfreie Stadt",Fachschulen,2.0,314.0,166.0,5.0,2021
"Oldenburg (Oldenburg), kreisfreie Stadt",Fachschulen,3.0,401.0,206.0,10.0,2021
"Osnabrück, kreisfreie Stadt",Fachschulen,7.0,1086.0,578.0,41.0,2021
"Wilhelmshaven, kreisfreie Stadt",Fachschulen,1.0,125.0,64.0,1.0,2021
"Aurich, Landkreis",Fachschulen,2.0,195.0,119.0,2.0,2021
"Cloppenburg, Landkreis",Fachschulen,3.0,226.0,128.0,6.0,2021
"Emsland, Landkreis",Fachschulen,10.0,1015.0,598.0,9.0,2021
"Friesland, Landkreis",Fachschulen,1.0,108.0,86.0,2.0,2021
"Grafschaft Bentheim, Landkreis",Fachschulen,1.0,190.0,132.0,5.0,2021
"Leer, Landkreis",Fachschulen,3.0,179.0,121.0,3.0,2021
"Oldenburg, Landkreis",Fachschulen,2.0,183.0,90.0,3.0,2021
"Osnabrück, Landkreis",Fachschulen,3.0,323.0,202.0,8.0,2021
"Vechta, Landkreis",Fachschulen,3.0,452.0,308.0,7.0,2021
"Bremen, kreisfreie Stadt",Fachschulen,9.0,1050.0,641.0,120.0,2021
"Bremerhaven, kreisfreie Stadt",Fachschulen,1.0,196.0,156.0,13.0,2021
"Düsseldorf, kreisfreie Stadt",Fachschulen,13.0,2715.0,1680.0,230.0,2021
"Duisburg, kreisfreie Stadt",Fachschulen,8.0,1085.0,475.0,90.0,2021
"Essen, kreisfreie Stadt",Fachschulen,11.0,1840.0,705.0,115.0,2021
"Krefeld, kreisfreie Stadt",Fachschulen,4.0,790.0,340.0,55.0,2021
"Mönchengladbach, kreisfreie Stadt",Fachschulen,6.0,1290.0,690.0,55.0,2021
"Mülheim an der Ruhr, kreisfreie Stadt",Fachschulen,1.0,195.0,115.0,15.0,2021
"Oberhausen, kreisfreie Stadt",Fachschulen,2.0,345.0,170.0,25.0,2021
"Remscheid, kreisfreie Stadt",Fachschulen,3.0,435.0,210.0,40.0,2021
"Solingen, kreisfreie Stadt",Fachschulen,3.0,395.0,205.0,35.0,2021
"Wuppertal, kreisfreie Stadt",Fachschulen,6.0,1040.0,590.0,90.0,2021
"Kleve, Kreis",Fachschulen,4.0,750.0,465.0,25.0,2021
"Mettmann, Kreis",Fachschulen,4.0,695.0,455.0,65.0,2021
Rhein-Kreis Neuss,Fachschulen,5.0,770.0,415.0,55.0,2021
"Viersen, Kreis",Fachschulen,2.0,310.0,255.0,10.0,2021
"Wesel, Kreis",Fachschulen,5.0,980.0,645.0,50.0,2021
"Bonn, kreisfreie Stadt",Fachschulen,3.0,405.0,285.0,30.0,2021
"Köln, kreisfreie Stadt",Fachschulen,21.0,3390.0,1735.0,300.0,2021
"Leverkusen, kreisfreie Stadt",Fachschulen,4.0,390.0,260.0,30.0,2021
Städteregion Aachen (einschl. Stadt Aachen),Fachschulen,7.0,1885.0,985.0,165.0,2021
"Aachen, krfr. Stadt",Fachschulen,5.0,1150.0,535.0,105.0,2021
"Düren, Kreis",Fachschulen,3.0,480.0,315.0,20.0,2021
Rhein-Erft-Kreis,Fachschulen,6.0,515.0,280.0,30.0,2021
"Euskirchen, Kreis",Fachschulen,3.0,595.0,430.0,15.0,2021
"Heinsberg, Kreis",Fachschulen,3.0,630.0,415.0,25.0,2021
Oberbergischer Kreis,Fachschulen,4.0,755.0,465.0,35.0,2021
Rheinisch-Bergischer Kreis,Fachschulen,1.0,260.0,210.0,15.0,2021
Rhein-Sieg-Kreis,Fachschulen,3.0,815.0,385.0,65.0,2021
"Gelsenkirchen, kreisfreie Stadt",Fachschulen,4.0,610.0,250.0,55.0,2021
"Münster, kreisfreie Stadt",Fachschulen,8.0,1300.0,645.0,55.0,2021
"Borken, Kreis",Fachschulen,8.0,1100.0,620.0,25.0,2021
"Coesfeld, Kreis",Fachschulen,4.0,775.0,465.0,15.0,2021
"Recklinghausen, Kreis",Fachschulen,9.0,1625.0,1015.0,85.0,2021
"Steinfurt, Kreis",Fachschulen,7.0,1510.0,910.0,45.0,2021
"Warendorf, Kreis",Fachschulen,4.0,710.0,360.0,35.0,2021
"Bielefeld, kreisfreie Stadt",Fachschulen,7.0,1575.0,845.0,90.0,2021
"Gütersloh, Kreis",Fachschulen,2.0,265.0,185.0,20.0,2021
"Herford, Kreis",Fachschulen,7.0,710.0,420.0,40.0,2021
"Höxter, Kreis",Fachschulen,2.0,615.0,415.0,25.0,2021
"Lippe, Kreis",Fachschulen,4.0,980.0,490.0,55.0,2021
"Minden-Lübbecke, Kreis",Fachschulen,5.0,1040.0,625.0,45.0,2021
"Paderborn, Kreis",Fachschulen,4.0,920.0,505.0,25.0,2021
"Bochum, kreisfreie Stadt",Fachschulen,6.0,1230.0,535.0,70.0,2021
"Dortmund, kreisfreie Stadt",Fachschulen,9.0,1565.0,880.0,90.0,2021
"Hagen, kreisfreie Stadt",Fachschulen,4.0,495.0,300.0,35.0,2021
"Hamm, kreisfreie Stadt",Fachschulen,5.0,1140.0,800.0,35.0,2021
