district,total_infection,infection_incidence_rlp,infection_incidence_yr_0_11,infection_incidence_days_yr_12_19,infection_incidence_yr_20_59,infection_incidence_yr_60_above,hospitalized,total_covid19,covid19_incidence_rlp,covid19_incidence_yr_0_11,covid19_incidence_days_yr_12_19,covid19_incidence_yr_20_59,covid19_incidence_yr_60_above,deceased,Week_Number
VG Rheinpfalz,9124,1014.2443237304688,1308.162353515625,1881.2677001953125,1203.6241455078125,354.42181396484375,46,21,2.3342204093933105,1.958326816558838,0,0.6441085338592529,6.019903182983398,29,2022KW07
Bad Dürkheim,1155,868.3949584960938,1210.9346923828125,1795.8310546875,1043.417724609375,298.9161376953125,5,0,0,0,0,0,0,2,2022KW07
KS Frankenthal,456,935.3846435546875,823.8387451171875,1480.860595703125,1230.595947265625,342.46575927734375,1,1,2.0512821674346924,0,0,0,6.849315166473389,1,2022KW07
Germersheim,1944,1506.9066162109375,2175.528564453125,3033.377197265625,1666.985107421875,520.360107421875,8,7,5.425347328186035,0,0,4.410013675689697,11.01291275024414,5,2022KW07
KS Landau i.d.Pf.,416,891.0784912109375,1370.716552734375,1561.065185546875,1023.2805786132812,243.60536193847656,4,1,2.1419239044189453,0,0,0,8.12017822265625,1,2022KW07
KS Ludwigshafen,1885,1092.3927001953125,1042.6583251953125,2017.72021484375,1262.5806884765625,456.0897216796875,8,6,3.4769909381866455,9.066594123840332,0,0,9.307953834533691,6,2022KW07
KS Neustadt a.d.W.,554,1039.2825927734375,1616.5478515625,2024.18505859375,1194.55224609375,400.8475036621094,3,0,0,0,0,0,0,1,2022KW07
Rhein-Pfalz-Kreis,1309,845.8585815429688,967.6527709960938,1533.157958984375,1075.72265625,261.2396240234375,5,2,1.2923402786254883,0,0,0,4.213542461395264,7,2022KW07
KS Speyer,491,967.6593017578125,1203.4808349609375,1372.07421875,1187.9296875,414.42724609375,3,2,3.941197395324707,0,0,0,12.950851440429688,1,2022KW07
Südliche Weinstr.,914,825.0363159179688,1459.2933349609375,1281.725830078125,992.70703125,248.74215698242188,9,2,1.8053311109542847,0,0,0,5.653230667114258,5,2022KW07
VG Trier,5502,1029.49267578125,1668.9000244140625,1709.0946044921875,1186.3475341796875,331.2181091308594,31,7,1.2974616289138794,0,0,0,4.537234306335449,9,2022KW07
Bernkastel-Wittlich,1021,906.0655517578125,1293.5975341796875,1774.6444091796875,1124.52197265625,215.6517791748047,5,2,1.749536395072937,0,0,0,5.675046920776367,5,2022KW07
Bitburg-Prüm,871,870.521240234375,1250.770751953125,1192.86962890625,1031.2816162109375,343.9649658203125,0,0,0,0,0,0,0,0,2022KW07
Trier-Saarburg,1637,1087.46923828125,2075.982177734375,1724.137939453125,1205.7540283203125,315.9302673339844,14,4,2.6546852588653564,0,0,0,9.224241256713867,2,2022KW07
KS Trier,1411,1274.91552734375,1951.08544921875,2155.462646484375,1405.362548828125,431.4063720703125,11,1,0.9031139612197876,0,0,0,3.7513599395751953,2,2022KW07
Vulkaneifel,562,929.0638427734375,1556.4853515625,1668.597900390625,1044.4822998046875,415.142822265625,1,0,0,0,0,0,0,0,2022KW07
VG Westpfalz,5995,1151.3016357421875,1989.361328125,2165.3173828125,1319.26220703125,363.4672546386719,35,13,2.3621203899383545,0,0,2.2687225341796875,4.2832841873168945,14,2022KW07
Donnersbergkreis,726,961.0929565429688,1396.8876953125,1558.7935791015625,1179.0599365234375,300.30029296875,1,0,0,0,0,0,0,1,2022KW07
Kaiserslautern,1738,1634.687744140625,3093.735595703125,2747.38623046875,1869.76025390625,378.18902587890625,8,7,5.657342910766602,0,0,9.462348937988281,6.199820041656494,2,2022KW07
KS Kaiserslautern,1443,1447.8939208984375,2360.224365234375,2821.12841796875,1540.29296875,576.8665771484375,6,3,2.8258166313171387,0,0,1.8036216497421265,7.348618507385254,4,2022KW07
Kusel,408,581.9841918945312,849.8583374023438,1170.912109375,675.4002685546875,238.5618133544922,5,2,2.707202434539795,0,0,0,8.520064353942871,3,2022KW07
KS Pirmasens,407,1013.0426025390625,1687.560302734375,2476.6689453125,1225.2783203125,198.92433166503906,1,0,0,0,0,0,0,0,2022KW07
Südwestpfalz,906,954.5684204101562,1660.4354248046875,1747.0748291015625,1113.84814453125,383.048583984375,6,0,0,0,0,0,0,3,2022KW07
KS Zweibrücken,367,1079.3800048828125,1801.0291748046875,2568.21826171875,1178.44140625,336.4486083984375,8,1,2.9394474029541016,0,0,0,9.345794677734375,1,2022KW07
Rheinland-Pfalz,42438,1035.4794921875,1541.351318359375,1485.3978271484375,1210.8177490234375,431.3458251953125,233,74,1.78915274143219,1.3337334394454956,0.667144775390625,0.8448875546455383,3.939980983734131,167,2022KW08
VG Mittelrhein-Westerwald,12517,992.4249877929688,1550.0194091796875,1452.3533935546875,1158.153564453125,405.194580078125,54,21,1.6649316549301147,0.7307965159416199,1.0726391077041626,0.7740632891654968,3.6340322494506836,40,2022KW08
Ahrweiler,1306,1000.9273681640625,1795.710693359375,1420.3284912109375,1112.755126953125,487.9985046386719,3,0,0,0,0,0,0,1,2022KW08
Altenkirchen,1491,1155.0350341796875,2065.970947265625,1826.3902587890625,1272.91552734375,462.0931396484375,8,3,2.3240139484405518,0,0,3.045252561569214,2.538973331451416,2,2022KW08
Cochem-Zell,632,1026.340576171875,2079.1416015625,1614.3299560546875,1174.8580322265625,366.7481689453125,2,1,1.622718095779419,0,0,0,4.889975547790527,1,2022KW08
KS Koblenz,976,860.7612915039062,1013.4257202148438,730.0256958007812,1083.6507568359375,400.3503112792969,0,0,0,0,0,0,0,1,2022KW08
Mayen-Koblenz,1899,884.1358642578125,1207.71923828125,1421.6822509765625,1040.3651123046875,366.32867431640625,4,4,1.862318754196167,0,0,0.9054526090621948,4.63707160949707,5,2022KW08
Neuwied,1661,907.0009765625,1144.4508056640625,1463.68798828125,1073.5732421875,396.6250915527344,4,2,1.0921143293380737,0,7.003291606903076,1.0800535678863525,0,9,2022KW08
Rhein-Hunsrück,1121,1084.1287841796875,1610.4364013671875,1594.0902099609375,1327.3656005859375,393.7007751464844,5,2,1.9341424703598022,0,0,1.9209343194961548,3.075787305831909,4,2022KW08
Rhein-Lahn,1236,1008.3704833984375,1666.1571044921875,1550.561767578125,1200.0452880859375,356.04632568359375,6,1,0.8158071041107178,0,0,0,2.5800459384918213,5,2022KW08
Westerwaldkreis,2195,1082.18701171875,1843.664306640625,1427.751953125,1243.509521484375,412.3293151855469,22,8,3.9441897869110107,4.421257495880127,0,0,11.829119682312012,12,2022KW08
VG Rheinhessen-Nahe,8693,985.1563720703125,1433.6697998046875,1328.7027587890625,1133.7435302734375,440.4050598144531,68,19,2.1464147567749023,3.0677669048309326,0,1.487573504447937,3.606592893600464,41,2022KW08
Alzey-Worms,1227,938.6834106445312,1150.634521484375,1156.7611083984375,1125.3189697265625,459.1904296875,12,2,1.5296367406845093,0,0,1.4748610258102417,2.654279947280884,6,2022KW08
Bad Kreuznach,1723,1085.3817138671875,1763.2095947265625,1460.969970703125,1266.7294921875,475.0498962402344,11,0,0,0,0,0,0,5,2022KW08
Birkenfeld,610,754.6702880859375,1079.6378173828125,1827.81005859375,836.0193481445312,292.68292236328125,0,0,0,0,0,0,0,3,2022KW08
Mainz-Bingen,2044,966.3160400390625,1560.7125244140625,1228.367431640625,1084.914794921875,447.9556884765625,10,3,1.4173741340637207,0,0,0.916313111782074,3.257859468460083,10,2022KW08
KS Mainz,1954,899.9507446289062,1186.8641357421875,958.9732666015625,1029.3226318359375,422.07470703125,26,10,4.601933002471924,0,0,3.068025827407837,11.88942813873291,11,2022KW08
KS Worms,1135,1359.94921875,1850.33740234375,1953.791259765625,1605.82275390625,524.4379272460938,9,4,4.79277229309082,30.668575286865234,0,2.274536609649658,0,6,2022KW08
VG Rheinpfalz,10077,1120.1820068359375,1482.453369140625,1685.55517578125,1330.9429931640625,471.4336853027344,29,9,1.0003801584243774,0,0,0.21470284461975098,3.009951591491699,27,2022KW08
