City,Total_Death,Under 1 Year,1 to under 15 years,15 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years,40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 year and Above ,Year
"Elbe-Elster, Landkreis",1602.0,1.0,1.0,1.0,0.0,1.0,6.0,13.0,22.0,43.0,72.0,100.0,95.0,130.0,260.0,306.0,551.0,2016
"Havelland, Landkreis",1876.0,2.0,2.0,3.0,6.0,9.0,9.0,19.0,19.0,74.0,86.0,87.0,133.0,163.0,321.0,362.0,581.0,2016
"Märkisch-Oderland, Landkreis",2214.0,5.0,3.0,1.0,4.0,0.0,8.0,15.0,25.0,80.0,121.0,138.0,156.0,192.0,362.0,400.0,704.0,2016
"Oberhavel, Landkreis",2394.0,6.0,2.0,2.0,2.0,5.0,9.0,13.0,27.0,78.0,111.0,146.0,184.0,212.0,378.0,455.0,764.0,2016
"Oberspreewald-Lausitz, Landkreis",1653.0,1.0,1.0,6.0,1.0,3.0,5.0,9.0,28.0,52.0,82.0,113.0,100.0,150.0,295.0,275.0,532.0,2016
"Oder-Spree, Landkreis",2261.0,4.0,3.0,6.0,7.0,9.0,5.0,14.0,39.0,68.0,111.0,146.0,141.0,195.0,370.0,387.0,756.0,2016
"Ostprignitz-Ruppin, Landkreis",1304.0,1.0,0.0,3.0,1.0,2.0,3.0,8.0,27.0,41.0,58.0,80.0,85.0,119.0,199.0,235.0,442.0,2016
"Potsdam-Mittelmark, Landkreis",2411.0,5.0,2.0,7.0,4.0,5.0,4.0,9.0,40.0,66.0,88.0,134.0,134.0,179.0,394.0,437.0,903.0,2016
"Prignitz, Landkreis",1180.0,7.0,1.0,3.0,3.0,2.0,3.0,5.0,18.0,43.0,52.0,61.0,75.0,89.0,195.0,202.0,421.0,2016
"Spree-Neiße, Landkreis",1618.0,4.0,2.0,5.0,2.0,3.0,4.0,9.0,18.0,41.0,87.0,109.0,99.0,134.0,287.0,284.0,530.0,2016
"Teltow-Fläming, Landkreis",1919.0,3.0,1.0,5.0,2.0,5.0,8.0,19.0,25.0,79.0,75.0,134.0,128.0,177.0,302.0,346.0,610.0,2016
"Uckermark, Landkreis",1670.0,6.0,0.0,2.0,1.0,4.0,10.0,5.0,22.0,41.0,84.0,112.0,126.0,135.0,294.0,312.0,516.0,2016
"Rostock, Hanse- und Universitätsstadt, kreisfreie Stadt",2338.0,6.0,1.0,7.0,7.0,15.0,8.0,19.0,37.0,66.0,107.0,130.0,139.0,211.0,375.0,453.0,757.0,2016
"Schwerin, Landeshauptstadt, kreisfreie Stadt",1271.0,3.0,4.0,3.0,3.0,5.0,4.0,11.0,20.0,40.0,39.0,93.0,88.0,96.0,176.0,230.0,456.0,2016
"Mecklenburgische Seenplatte, Landkreis",3435.0,11.0,0.0,5.0,4.0,5.0,18.0,24.0,55.0,115.0,180.0,230.0,222.0,268.0,576.0,643.0,1079.0,2016
Landkreis Rostock,2610.0,3.0,4.0,6.0,3.0,6.0,15.0,22.0,35.0,93.0,143.0,163.0,196.0,213.0,421.0,469.0,818.0,2016
"Vorpommern-Rügen, Landkreis",3067.0,4.0,1.0,5.0,2.0,9.0,13.0,18.0,52.0,92.0,157.0,206.0,180.0,266.0,559.0,577.0,926.0,2016
Landkreis Nordwestmecklenburg,1869.0,3.0,0.0,4.0,6.0,6.0,8.0,16.0,30.0,56.0,85.0,136.0,113.0,130.0,310.0,347.0,619.0,2016
"Vorpommern-Greifswald, Landkreis",3228.0,8.0,4.0,8.0,10.0,4.0,13.0,13.0,57.0,120.0,174.0,216.0,201.0,253.0,543.0,616.0,988.0,2016
Landkreis Ludwigslust-Parchim,2627.0,5.0,1.0,7.0,7.0,7.0,12.0,13.0,36.0,84.0,136.0,193.0,186.0,214.0,419.0,498.0,809.0,2016
"Chemnitz, Stadt",3282.0,6.0,3.0,9.0,6.0,8.0,8.0,16.0,40.0,77.0,128.0,157.0,194.0,279.0,502.0,553.0,1296.0,2016
Erzgebirgskreis,5070.0,3.0,5.0,5.0,9.0,9.0,11.0,29.0,44.0,114.0,181.0,304.0,363.0,378.0,675.0,930.0,2010.0,2016
"Mittelsachsen, Landkreis",4342.0,9.0,1.0,3.0,4.0,10.0,13.0,28.0,32.0,110.0,158.0,240.0,273.0,368.0,648.0,793.0,1652.0,2016
Vogtlandkreis,3624.0,0.0,1.0,7.0,8.0,6.0,11.0,16.0,46.0,80.0,118.0,177.0,209.0,303.0,557.0,643.0,1442.0,2016
"Zwickau, Landkreis",5048.0,5.0,7.0,3.0,2.0,9.0,12.0,30.0,55.0,133.0,164.0,252.0,292.0,401.0,728.0,911.0,2044.0,2016
"Dresden, Stadt",5135.0,14.0,6.0,12.0,19.0,23.0,14.0,25.0,66.0,116.0,179.0,244.0,289.0,458.0,723.0,862.0,2085.0,2016
"Bautzen, Landkreis",4204.0,7.0,5.0,7.0,5.0,6.0,16.0,23.0,58.0,116.0,164.0,228.0,209.0,333.0,594.0,787.0,1646.0,2016
"Görlitz, Landkreis",3935.0,4.0,3.0,1.0,6.0,7.0,19.0,18.0,50.0,118.0,139.0,206.0,264.0,316.0,633.0,721.0,1430.0,2016
"Meißen, Landkreis",3160.0,3.0,8.0,2.0,2.0,8.0,11.0,18.0,45.0,78.0,105.0,178.0,162.0,262.0,487.0,529.0,1262.0,2016
"Sächsische Schweiz-Osterzgebirge, Landkreis",3386.0,3.0,2.0,1.0,6.0,6.0,6.0,13.0,42.0,82.0,108.0,191.0,192.0,270.0,505.0,554.0,1405.0,2016
"Leipzig, Stadt",6088.0,16.0,8.0,14.0,17.0,28.0,38.0,40.0,89.0,179.0,222.0,314.0,413.0,523.0,964.0,990.0,2233.0,2016
"Leipzig, Landkreis",3356.0,10.0,3.0,7.0,5.0,8.0,7.0,14.0,54.0,72.0,133.0,214.0,208.0,292.0,509.0,559.0,1261.0,2016
"Nordsachsen, Landkreis",2700.0,3.0,4.0,2.0,6.0,5.0,7.0,16.0,41.0,77.0,101.0,170.0,158.0,205.0,419.0,510.0,976.0,2016
"Dessau-Roßlau, kreisfreie Stadt",1334.0,1.0,3.0,2.0,4.0,3.0,1.0,7.0,15.0,28.0,57.0,62.0,72.0,137.0,217.0,228.0,497.0,2016
"Halle (Saale), kreisfreie Stadt",2908.0,11.0,5.0,6.0,8.0,15.0,14.0,24.0,39.0,81.0,115.0,176.0,187.0,280.0,445.0,453.0,1049.0,2016
"Magdeburg, Landeshauptstadt, kreisfreie Stadt",2981.0,4.0,3.0,10.0,5.0,10.0,9.0,27.0,46.0,98.0,124.0,151.0,173.0,299.0,484.0,498.0,1040.0,2016
Altmarkkreis Salzwedel,1114.0,0.0,2.0,5.0,5.0,4.0,7.0,8.0,11.0,43.0,53.0,62.0,78.0,94.0,169.0,199.0,374.0,2016
"Anhalt-Bitterfeld, Landkreis",2440.0,4.0,0.0,4.0,1.0,8.0,8.0,12.0,29.0,52.0,119.0,162.0,172.0,220.0,412.0,437.0,800.0,2016
"Börde, Landkreis",2132.0,5.0,0.0,1.0,1.0,4.0,7.0,13.0,31.0,61.0,95.0,136.0,175.0,200.0,325.0,366.0,712.0,2016
Burgenlandkreis,2658.0,4.0,2.0,1.0,4.0,2.0,11.0,20.0,29.0,69.0,123.0,162.0,161.0,222.0,378.0,486.0,984.0,2016
"Harz, Landkreis",3361.0,8.0,3.0,4.0,4.0,12.0,8.0,20.0,43.0,72.0,130.0,222.0,216.0,298.0,545.0,584.0,1192.0,2016
"Jerichower Land, Landkreis",1271.0,1.0,0.0,1.0,4.0,2.0,5.0,11.0,19.0,36.0,58.0,81.0,79.0,86.0,204.0,225.0,459.0,2016
"Mansfeld-Südharz, Landkreis",2220.0,5.0,0.0,1.0,2.0,2.0,11.0,16.0,32.0,57.0,95.0,134.0,146.0,211.0,361.0,422.0,725.0,2016
Saalekreis,2450.0,1.0,3.0,4.0,2.0,10.0,9.0,12.0,32.0,71.0,118.0,194.0,163.0,230.0,400.0,408.0,793.0,2016
Salzlandkreis,3076.0,2.0,4.0,4.0,6.0,11.0,6.0,21.0,39.0,85.0,144.0,183.0,218.0,263.0,533.0,581.0,976.0,2016
"Stendal, Landkreis",1655.0,2.0,0.0,6.0,1.0,6.0,7.0,6.0,34.0,63.0,91.0,103.0,117.0,139.0,270.0,313.0,497.0,2016
"Wittenberg, Landkreis",1853.0,4.0,4.0,3.0,3.0,6.0,3.0,13.0,34.0,67.0,83.0,111.0,111.0,146.0,356.0,344.0,565.0,2016
"Erfurt, kreisfreie Stadt",2370.0,7.0,3.0,6.0,10.0,5.0,13.0,14.0,29.0,62.0,120.0,152.0,175.0,182.0,391.0,372.0,829.0,2016
"Gera, kreisfreie Stadt",1349.0,2.0,0.0,4.0,3.0,2.0,5.0,4.0,21.0,28.0,60.0,97.0,81.0,114.0,200.0,209.0,519.0,2016
"Jena, kreisfreie Stadt",958.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,8.0,19.0,34.0,51.0,63.0,81.0,152.0,156.0,376.0,2016
"Suhl, kreisfreie Stadt",524.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,6.0,13.0,16.0,31.0,36.0,64.0,86.0,84.0,176.0,2016
"Weimar, kreisfreie Stadt",784.0,2.0,0.0,0.0,1.0,2.0,3.0,5.0,12.0,20.0,22.0,38.0,46.0,70.0,134.0,141.0,288.0,2016
"Eisenach, kreisfreie Stadt",594.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,12.0,19.0,22.0,38.0,34.0,57.0,105.0,98.0,199.0,2016
"Eichsfeld, Kreis",1179.0,5.0,2.0,1.0,4.0,8.0,8.0,6.0,16.0,25.0,48.0,55.0,82.0,101.0,185.0,218.0,415.0,2016
"Nordhausen, Kreis",1189.0,0.0,1.0,1.0,1.0,4.0,4.0,6.0,10.0,29.0,34.0,55.0,76.0,103.0,200.0,231.0,434.0,2016
Wartburgkreis,1631.0,3.0,0.0,4.0,5.0,4.0,2.0,9.0,23.0,36.0,78.0,100.0,116.0,139.0,284.0,278.0,550.0,2016
Unstrut-Hainich-Kreis,1474.0,4.0,0.0,2.0,5.0,6.0,7.0,11.0,16.0,61.0,64.0,85.0,98.0,104.0,241.0,281.0,489.0,2016
Kyffhäuserkreis,1206.0,2.0,1.0,0.0,3.0,1.0,4.0,8.0,18.0,31.0,68.0,71.0,82.0,97.0,209.0,236.0,375.0,2016
"Schmalkalden-Meiningen, Kreis",1750.0,2.0,0.0,7.0,2.0,4.0,6.0,13.0,26.0,45.0,67.0,94.0,134.0,157.0,293.0,323.0,577.0,2016
"Gotha, Kreis",1768.0,2.0,2.0,3.0,1.0,8.0,9.0,13.0,28.0,54.0,74.0,102.0,134.0,143.0,292.0,317.0,586.0,2016
"Sömmerda, Kreis",933.0,1.0,0.0,2.0,1.0,4.0,4.0,5.0,16.0,28.0,45.0,66.0,71.0,89.0,153.0,176.0,272.0,2016
"Hildburghausen, Kreis",869.0,1.0,1.0,1.0,1.0,7.0,4.0,3.0,15.0,26.0,42.0,68.0,59.0,72.0,130.0,154.0,285.0,2016
Ilm-Kreis,1467.0,5.0,6.0,3.0,5.0,4.0,5.0,6.0,19.0,47.0,61.0,85.0,107.0,136.0,237.0,214.0,527.0,2016
"Weimarer Land, Kreis",931.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,14.0,20.0,42.0,55.0,68.0,76.0,144.0,158.0,338.0,2016
"Sonneberg, Kreis",808.0,1.0,0.0,2.0,1.0,7.0,6.0,4.0,14.0,15.0,35.0,47.0,56.0,61.0,131.0,140.0,288.0,2016
"Saalfeld-Rudolstadt, Kreis",1603.0,2.0,1.0,4.0,1.0,5.0,6.0,13.0,18.0,53.0,58.0,88.0,99.0,113.0,255.0,294.0,593.0,2016
Saale-Holzland-Kreis,976.0,4.0,0.0,0.0,1.0,4.0,3.0,5.0,8.0,22.0,44.0,60.0,71.0,89.0,179.0,175.0,311.0,2016
Saale-Orla-Kreis,1111.0,2.0,1.0,3.0,2.0,4.0,8.0,9.0,11.0,21.0,41.0,73.0,57.0,76.0,156.0,222.0,425.0,2016
"Greiz, Kreis",1471.0,2.0,2.0,1.0,4.0,4.0,3.0,6.0,18.0,24.0,49.0,74.0,85.0,134.0,237.0,264.0,564.0,2016
"Altenburger Land, Kreis",1367.0,0.0,1.0,3.0,1.0,1.0,5.0,2.0,21.0,28.0,48.0,73.0,97.0,119.0,223.0,240.0,505.0,2016
"Flensburg, kreisfreie Stadt",1034.0,2.0,3.0,8.0,0.0,6.0,3.0,7.0,11.0,30.0,34.0,62.0,79.0,103.0,154.0,183.0,349.0,2017
"Kiel, Landeshauptstadt, kreisfreie Stadt",2481.0,12.0,4.0,11.0,5.0,9.0,10.0,20.0,32.0,82.0,99.0,137.0,202.0,233.0,353.0,405.0,867.0,2017
"Lübeck, Hansestadt, kreisfreie Stadt",2752.0,2.0,2.0,3.0,4.0,13.0,15.0,17.0,40.0,66.0,112.0,150.0,214.0,242.0,407.0,442.0,1023.0,2017
"Neumünster, kreisfreie Stadt",1141.0,3.0,0.0,3.0,1.0,3.0,4.0,9.0,21.0,33.0,50.0,63.0,69.0,111.0,185.0,193.0,393.0,2017
"Dithmarschen, Landkreis",1778.0,4.0,1.0,6.0,3.0,4.0,2.0,10.0,17.0,46.0,64.0,97.0,126.0,148.0,279.0,316.0,655.0,2017
"Herzogtum Lauenburg, Landkreis",2368.0,7.0,3.0,3.0,6.0,9.0,12.0,15.0,30.0,58.0,84.0,115.0,136.0,210.0,351.0,441.0,888.0,2017
"Nordfriesland, Landkreis",1944.0,4.0,1.0,5.0,6.0,6.0,8.0,18.0,35.0,48.0,61.0,95.0,144.0,171.0,316.0,348.0,678.0,2017
"Ostholstein, Landkreis",2804.0,5.0,2.0,6.0,5.0,8.0,7.0,10.0,33.0,66.0,96.0,146.0,203.0,252.0,456.0,450.0,1059.0,2017
"Pinneberg, Landkreis",3536.0,9.0,2.0,7.0,5.0,8.0,12.0,18.0,43.0,69.0,130.0,160.0,220.0,323.0,597.0,647.0,1286.0,2017
"Plön, Landkreis",1475.0,2.0,0.0,1.0,3.0,1.0,2.0,7.0,19.0,36.0,46.0,61.0,104.0,122.0,250.0,257.0,564.0,2017
"Rendsburg-Eckernförde, Landkreis",3247.0,3.0,5.0,8.0,6.0,6.0,8.0,14.0,35.0,76.0,106.0,151.0,238.0,297.0,539.0,589.0,1166.0,2017
"Schleswig-Flensburg, Landkreis",2465.0,3.0,2.0,7.0,4.0,8.0,12.0,8.0,45.0,73.0,91.0,137.0,155.0,226.0,410.0,427.0,857.0,2017
"Segeberg, Landkreis",3014.0,10.0,3.0,8.0,8.0,5.0,12.0,16.0,44.0,77.0,123.0,132.0,244.0,272.0,469.0,561.0,1030.0,2017
"Steinburg, Landkreis",1632.0,6.0,2.0,5.0,2.0,6.0,9.0,11.0,21.0,51.0,72.0,74.0,113.0,146.0,281.0,277.0,556.0,2017
"Stormarn, Landkreis",2784.0,4.0,1.0,3.0,6.0,6.0,5.0,19.0,23.0,60.0,83.0,129.0,173.0,249.0,435.0,505.0,1083.0,2017
Hamburg,17640.0,67.0,24.0,43.0,44.0,61.0,87.0,122.0,273.0,443.0,668.0,922.0,1244.0,1667.0,2730.0,2897.0,6348.0,2017
"Braunschweig, kreisfreie Stadt",2876.0,5.0,2.0,7.0,8.0,5.0,13.0,17.0,34.0,71.0,102.0,138.0,179.0,239.0,428.0,469.0,1159.0,2017
"Salzgitter, kreisfreie Stadt",1448.0,2.0,7.0,1.0,2.0,6.0,6.0,6.0,19.0,41.0,61.0,70.0,91.0,127.0,209.0,259.0,541.0,2017
"Wolfsburg, kreisfreie Stadt",1492.0,7.0,2.0,4.0,2.0,5.0,10.0,7.0,15.0,30.0,52.0,77.0,97.0,119.0,232.0,291.0,542.0,2017
"Gifhorn, Landkreis",1794.0,5.0,3.0,16.0,8.0,5.0,7.0,17.0,23.0,56.0,82.0,95.0,97.0,161.0,275.0,315.0,629.0,2017
"Goslar, Landkreis",2123.0,1.0,1.0,8.0,2.0,7.0,8.0,13.0,32.0,44.0,82.0,82.0,138.0,172.0,305.0,361.0,867.0,2017
"Helmstedt, Landkreis",1333.0,4.0,0.0,3.0,2.0,6.0,5.0,8.0,22.0,42.0,47.0,64.0,82.0,119.0,192.0,208.0,529.0,2017
"Northeim, Landkreis",1922.0,3.0,1.0,1.0,0.0,3.0,7.0,10.0,31.0,42.0,59.0,97.0,141.0,134.0,267.0,348.0,778.0,2017
"Peine, Landkreis",1614.0,8.0,2.0,4.0,2.0,8.0,3.0,10.0,18.0,44.0,55.0,77.0,113.0,137.0,250.0,263.0,620.0,2017
"Wolfenbüttel, Landkreis",1498.0,4.0,1.0,5.0,4.0,5.0,2.0,10.0,14.0,46.0,43.0,74.0,98.0,137.0,244.0,288.0,523.0,2017
"Göttingen, Landkreis",3967.0,14.0,7.0,11.0,5.0,12.0,13.0,13.0,56.0,97.0,120.0,218.0,260.0,295.0,559.0,633.0,1654.0,2017
"Region Hannover, Landkreis",12676.0,35.0,18.0,36.0,26.0,29.0,51.0,69.0,163.0,333.0,493.0,637.0,867.0,1104.0,1798.0,2139.0,4878.0,2017
"Hannover, Landeshauptstadt",5556.0,19.0,9.0,17.0,12.0,15.0,25.0,25.0,83.0,158.0,228.0,272.0,395.0,465.0,744.0,879.0,2210.0,2017
"Diepholz, Landkreis",2473.0,10.0,0.0,4.0,5.0,9.0,13.0,14.0,39.0,57.0,100.0,114.0,156.0,211.0,368.0,434.0,939.0,2017
"Hameln-Pyrmont, Landkreis",2050.0,7.0,1.0,2.0,3.0,3.0,8.0,8.0,21.0,56.0,77.0,101.0,121.0,164.0,301.0,362.0,815.0,2017
"Hildesheim, Landkreis",3768.0,9.0,6.0,7.0,10.0,5.0,12.0,32.0,56.0,84.0,143.0,180.0,217.0,325.0,539.0,681.0,1462.0,2017
"Holzminden, Landkreis",1056.0,3.0,0.0,2.0,1.0,3.0,3.0,4.0,9.0,16.0,38.0,54.0,72.0,92.0,162.0,188.0,409.0,2017
"Nienburg (Weser), Landkreis",1591.0,4.0,1.0,6.0,4.0,7.0,10.0,11.0,23.0,42.0,49.0,88.0,113.0,138.0,192.0,291.0,612.0,2017
"Schaumburg, Landkreis",2277.0,12.0,1.0,6.0,5.0,8.0,5.0,9.0,36.0,45.0,87.0,111.0,140.0,172.0,325.0,412.0,903.0,2017
"Celle, Landkreis",2234.0,8.0,6.0,4.0,7.0,6.0,9.0,5.0,24.0,52.0,89.0,111.0,143.0,181.0,317.0,408.0,864.0,2017
"Cuxhaven, Landkreis",2730.0,8.0,5.0,10.0,6.0,8.0,10.0,18.0,23.0,71.0,116.0,135.0,206.0,237.0,394.0,502.0,981.0,2017
"Harburg, Landkreis",2591.0,9.0,1.0,5.0,3.0,10.0,4.0,12.0,30.0,55.0,109.0,100.0,163.0,241.0,395.0,492.0,962.0,2017
"Lüchow-Dannenberg, Landkreis",740.0,2.0,1.0,3.0,0.0,2.0,3.0,5.0,10.0,24.0,33.0,43.0,51.0,55.0,108.0,119.0,281.0,2017
"Lüneburg, Landkreis",1907.0,6.0,2.0,3.0,3.0,11.0,7.0,12.0,27.0,54.0,70.0,93.0,139.0,149.0,283.0,348.0,700.0,2017
"Osterholz, Landkreis",1319.0,2.0,2.0,3.0,1.0,3.0,0.0,12.0,20.0,34.0,48.0,66.0,106.0,124.0,216.0,234.0,448.0,2017
"Rotenburg (Wümme), Landkreis",1946.0,8.0,2.0,7.0,2.0,6.0,5.0,17.0,35.0,47.0,64.0,119.0,133.0,159.0,290.0,336.0,716.0,2017
"Heidekreis, Landkreis",1713.0,5.0,1.0,2.0,6.0,3.0,4.0,7.0,19.0,53.0,64.0,77.0,120.0,150.0,277.0,296.0,629.0,2017
"Stade, Landkreis",2168.0,5.0,3.0,7.0,5.0,7.0,8.0,12.0,35.0,50.0,75.0,112.0,135.0,175.0,326.0,375.0,838.0,2017
"Uelzen, Landkreis",1333.0,4.0,1.0,3.0,1.0,2.0,6.0,3.0,19.0,32.0,51.0,60.0,101.0,121.0,218.0,224.0,487.0,2017
"Verden, Landkreis",1616.0,6.0,0.0,2.0,3.0,3.0,10.0,9.0,15.0,48.0,63.0,82.0,116.0,135.0,266.0,276.0,582.0,2017
"Delmenhorst, kreisfreie Stadt",871.0,5.0,1.0,0.0,2.0,2.0,7.0,8.0,8.0,27.0,36.0,58.0,69.0,87.0,134.0,150.0,277.0,2017
"Emden, kreisfreie Stadt",630.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,11.0,14.0,31.0,41.0,57.0,58.0,82.0,89.0,233.0,2017
"Oldenburg (Oldenburg), kreisfreie Stadt",1723.0,9.0,1.0,4.0,3.0,11.0,8.0,10.0,19.0,43.0,64.0,77.0,133.0,173.0,264.0,284.0,620.0,2017
"Osnabrück, kreisfreie Stadt",1597.0,3.0,3.0,1.0,3.0,6.0,13.0,8.0,22.0,33.0,61.0,73.0,92.0,128.0,235.0,242.0,674.0,2017
"Wilhelmshaven, kreisfreie Stadt",1186.0,1.0,0.0,0.0,1.0,6.0,4.0,4.0,14.0,41.0,51.0,69.0,101.0,90.0,187.0,200.0,417.0,2017
"Ammerland, Landkreis",1304.0,3.0,3.0,6.0,8.0,5.0,4.0,4.0,14.0,31.0,44.0,53.0,82.0,101.0,218.0,260.0,468.0,2017
"Aurich, Landkreis",2442.0,7.0,2.0,10.0,5.0,7.0,9.0,11.0,38.0,77.0,93.0,116.0,207.0,222.0,367.0,425.0,846.0,2017
"Cloppenburg, Landkreis",1608.0,7.0,0.0,10.0,4.0,3.0,11.0,14.0,18.0,48.0,64.0,91.0,95.0,103.0,245.0,319.0,576.0,2017
"Emsland, Landkreis",3210.0,7.0,1.0,14.0,6.0,15.0,11.0,27.0,55.0,85.0,140.0,176.0,220.0,260.0,480.0,555.0,1158.0,2017
"Friesland, Landkreis",1226.0,4.0,2.0,1.0,2.0,1.0,4.0,9.0,15.0,37.0,44.0,49.0,74.0,92.0,207.0,214.0,471.0,2017
"Grafschaft Bentheim, Landkreis",1464.0,2.0,3.0,6.0,2.0,8.0,6.0,12.0,15.0,32.0,41.0,85.0,101.0,108.0,227.0,263.0,553.0,2017
"Leer, Landkreis",1953.0,9.0,1.0,5.0,3.0,4.0,6.0,18.0,27.0,51.0,72.0,109.0,165.0,152.0,319.0,356.0,656.0,2017
"Oldenburg, Landkreis",1439.0,5.0,4.0,4.0,1.0,1.0,5.0,11.0,15.0,41.0,48.0,79.0,85.0,110.0,232.0,236.0,562.0,2017
"Osnabrück, Landkreis",3762.0,12.0,3.0,16.0,5.0,16.0,16.0,21.0,35.0,94.0,138.0,164.0,235.0,277.0,515.0,701.0,1514.0,2017
"Vechta, Landkreis",1131.0,7.0,4.0,7.0,5.0,4.0,7.0,8.0,13.0,26.0,38.0,60.0,46.0,98.0,150.0,194.0,464.0,2017
"Wesermarsch, Landkreis",1173.0,6.0,1.0,1.0,1.0,1.0,4.0,6.0,18.0,28.0,40.0,61.0,89.0,107.0,173.0,199.0,438.0,2017
"Wittmund, Landkreis",739.0,1.0,0.0,4.0,2.0,0.0,3.0,4.0,11.0,23.0,27.0,33.0,71.0,56.0,111.0,129.0,264.0,2017
"Bremen, kreisfreie Stadt",6375.0,30.0,9.0,21.0,9.0,25.0,30.0,43.0,107.0,194.0,228.0,276.0,429.0,591.0,997.0,1062.0,2324.0,2017
"Bremerhaven, kreisfreie Stadt",1530.0,4.0,2.0,3.0,2.0,7.0,9.0,7.0,38.0,37.0,64.0,91.0,111.0,167.0,266.0,262.0,460.0,2017
"Düsseldorf, kreisfreie Stadt",6252.0,25.0,7.0,6.0,13.0,17.0,27.0,28.0,89.0,169.0,225.0,338.0,437.0,639.0,903.0,1106.0,2223.0,2017
"Duisburg, kreisfreie Stadt",6122.0,30.0,10.0,5.0,12.0,10.0,20.0,50.0,85.0,157.0,288.0,394.0,469.0,521.0,879.0,1138.0,2054.0,2017
"Essen, kreisfreie Stadt",7415.0,19.0,11.0,11.0,17.0,22.0,32.0,43.0,114.0,212.0,268.0,421.0,596.0,644.0,1074.0,1264.0,2667.0,2017
"Krefeld, kreisfreie Stadt",2763.0,13.0,1.0,4.0,4.0,9.0,14.0,19.0,40.0,71.0,115.0,141.0,202.0,243.0,404.0,491.0,992.0,2017
"Mönchengladbach, kreisfreie Stadt",3136.0,16.0,3.0,8.0,6.0,8.0,21.0,24.0,43.0,83.0,124.0,178.0,234.0,254.0,507.0,551.0,1076.0,2017
"Mülheim an der Ruhr, kreisfreie Stadt",2218.0,10.0,7.0,1.0,1.0,6.0,8.0,8.0,31.0,43.0,85.0,102.0,141.0,181.0,338.0,387.0,869.0,2017
"Oberhausen, kreisfreie Stadt",2761.0,9.0,6.0,3.0,7.0,8.0,11.0,14.0,34.0,59.0,113.0,154.0,213.0,241.0,423.0,492.0,974.0,2017
"Remscheid, kreisfreie Stadt",1289.0,4.0,0.0,1.0,1.0,2.0,5.0,6.0,18.0,40.0,56.0,73.0,76.0,106.0,216.0,218.0,467.0,2017
"Solingen, kreisfreie Stadt",2063.0,2.0,6.0,4.0,4.0,5.0,3.0,20.0,26.0,47.0,73.0,88.0,117.0,165.0,316.0,373.0,814.0,2017
"Wuppertal, kreisfreie Stadt",4353.0,16.0,3.0,4.0,11.0,9.0,15.0,30.0,49.0,118.0,168.0,258.0,290.0,416.0,633.0,754.0,1579.0,2017
"Kleve, Kreis",3604.0,8.0,6.0,10.0,2.0,10.0,15.0,16.0,55.0,104.0,166.0,198.0,270.0,320.0,506.0,600.0,1318.0,2017
"Mettmann, Kreis",5843.0,19.0,2.0,14.0,9.0,5.0,8.0,28.0,62.0,124.0,221.0,250.0,395.0,509.0,865.0,1060.0,2272.0,2017
Rhein-Kreis Neuss,5066.0,19.0,8.0,10.0,6.0,5.0,17.0,34.0,71.0,103.0,186.0,229.0,326.0,423.0,799.0,1002.0,1828.0,2017
"Viersen, Kreis",3326.0,7.0,5.0,15.0,8.0,11.0,10.0,14.0,53.0,72.0,126.0,167.0,230.0,286.0,528.0,633.0,1161.0,2017
"Wesel, Kreis",5551.0,25.0,4.0,10.0,9.0,14.0,10.0,27.0,77.0,152.0,228.0,267.0,415.0,498.0,805.0,1003.0,2007.0,2017
"Bonn, kreisfreie Stadt",2999.0,15.0,9.0,7.0,9.0,12.0,19.0,20.0,51.0,79.0,118.0,149.0,181.0,240.0,384.0,457.0,1249.0,2017
"Köln, kreisfreie Stadt",9628.0,38.0,15.0,27.0,21.0,40.0,47.0,68.0,139.0,282.0,383.0,485.0,734.0,841.0,1476.0,1665.0,3367.0,2017
"Leverkusen, kreisfreie Stadt",1774.0,8.0,1.0,0.0,4.0,2.0,5.0,7.0,23.0,41.0,63.0,85.0,110.0,141.0,265.0,365.0,654.0,2017
Städteregion Aachen (einschl. Stadt Aachen),5909.0,13.0,2.0,17.0,12.0,15.0,19.0,25.0,86.0,114.0,214.0,289.0,401.0,476.0,863.0,1091.0,2272.0,2017
"Aachen, krfr. Stadt",2343.0,3.0,1.0,14.0,10.0,5.0,10.0,14.0,32.0,49.0,62.0,106.0,147.0,200.0,327.0,428.0,935.0,2017
"Düren, Kreis",3179.0,15.0,5.0,7.0,7.0,2.0,16.0,19.0,36.0,77.0,124.0,176.0,217.0,245.0,484.0,584.0,1165.0,2017
Rhein-Erft-Kreis,5239.0,15.0,4.0,11.0,13.0,19.0,18.0,33.0,57.0,113.0,199.0,270.0,385.0,454.0,833.0,926.0,1889.0,2017
"Euskirchen, Kreis",2307.0,9.0,0.0,2.0,6.0,6.0,10.0,15.0,41.0,60.0,79.0,127.0,163.0,182.0,350.0,390.0,867.0,2017
